'Time and date','I','aVF','ABP','PAP','CVP','PLETH','CO2','RESP'
'[23:17:48.410 12/03/1996]',-0.019,-0.040,90.850,24.850,8.262,0.394,27.433,-0.433
'[23:17:48.412 12/03/1996]',-0.018,-0.040,90.850,24.850,8.262,0.394,27.433,-0.433
'[23:17:48.414 12/03/1996]',-0.018,-0.040,90.850,24.850,8.262,0.394,27.433,-0.433
'[23:17:48.416 12/03/1996]',-0.018,-0.040,90.200,24.425,8.262,0.430,27.433,-0.435
'[23:17:48.418 12/03/1996]',-0.017,-0.040,90.200,24.425,8.262,0.430,27.433,-0.435
'[23:17:48.420 12/03/1996]',-0.018,-0.040,90.200,24.425,8.262,0.430,27.433,-0.435
'[23:17:48.422 12/03/1996]',-0.019,-0.039,90.200,24.425,8.262,0.430,27.433,-0.435
'[23:17:48.424 12/03/1996]',-0.021,-0.037,89.500,23.900,8.200,0.461,27.367,-0.438
'[23:17:48.426 12/03/1996]',-0.022,-0.036,89.500,23.900,8.200,0.461,27.367,-0.438
'[23:17:48.428 12/03/1996]',-0.023,-0.035,89.500,23.900,8.200,0.461,27.367,-0.438
'[23:17:48.430 12/03/1996]',-0.024,-0.034,89.500,23.900,8.200,0.461,27.367,-0.438
'[23:17:48.432 12/03/1996]',-0.025,-0.034,88.700,23.325,8.150,0.484,27.333,-0.439
'[23:17:48.434 12/03/1996]',-0.026,-0.033,88.700,23.325,8.150,0.484,27.333,-0.439
'[23:17:48.436 12/03/1996]',-0.025,-0.033,88.700,23.325,8.150,0.484,27.333,-0.439
'[23:17:48.438 12/03/1996]',-0.025,-0.033,88.700,23.325,8.150,0.484,27.333,-0.439
'[23:17:48.440 12/03/1996]',-0.024,-0.033,87.650,22.550,8.150,0.501,27.300,-0.441
'[23:17:48.442 12/03/1996]',-0.023,-0.033,87.650,22.550,8.150,0.501,27.300,-0.441
'[23:17:48.444 12/03/1996]',-0.022,-0.033,87.650,22.550,8.150,0.501,27.300,-0.441
'[23:17:48.446 12/03/1996]',-0.022,-0.032,87.650,22.550,8.150,0.501,27.300,-0.441
'[23:17:48.448 12/03/1996]',-0.021,-0.030,86.550,21.675,8.150,0.509,27.267,-0.442
'[23:17:48.450 12/03/1996]',-0.021,-0.028,86.550,21.675,8.150,0.509,27.267,-0.442
'[23:17:48.452 12/03/1996]',-0.019,-0.025,86.550,21.675,8.150,0.509,27.267,-0.442
'[23:17:48.454 12/03/1996]',-0.018,-0.021,86.550,21.675,8.150,0.509,27.267,-0.442
'[23:17:48.456 12/03/1996]',-0.016,-0.016,85.600,20.800,8.025,0.511,27.200,-0.444
'[23:17:48.458 12/03/1996]',-0.014,-0.011,85.600,20.800,8.025,0.511,27.200,-0.444
'[23:17:48.460 12/03/1996]',-0.011,-0.005,85.600,20.800,8.025,0.511,27.200,-0.444
'[23:17:48.462 12/03/1996]',-0.009,0.000,85.600,20.800,8.025,0.511,27.200,-0.444
'[23:17:48.464 12/03/1996]',-0.006,0.004,84.850,20.025,7.912,0.504,27.133,-0.446
'[23:17:48.466 12/03/1996]',-0.004,0.009,84.850,20.025,7.912,0.504,27.133,-0.446
'[23:17:48.468 12/03/1996]',-0.002,0.013,84.850,20.025,7.912,0.504,27.133,-0.446
'[23:17:48.470 12/03/1996]',0.001,0.016,84.850,20.025,7.912,0.504,27.133,-0.446
'[23:17:48.472 12/03/1996]',0.003,0.018,84.100,19.500,7.800,0.493,27.067,-0.449
'[23:17:48.474 12/03/1996]',0.005,0.019,84.100,19.500,7.800,0.493,27.067,-0.449
'[23:17:48.476 12/03/1996]',0.006,0.021,84.100,19.500,7.800,0.493,27.067,-0.449
'[23:17:48.478 12/03/1996]',0.008,0.022,84.100,19.500,7.800,0.493,27.067,-0.449
'[23:17:48.480 12/03/1996]',0.009,0.022,83.400,19.225,7.625,0.474,27.000,-0.451
'[23:17:48.482 12/03/1996]',0.011,0.022,83.400,19.225,7.625,0.474,27.000,-0.451
'[23:17:48.484 12/03/1996]',0.013,0.022,83.400,19.225,7.625,0.474,27.000,-0.451
'[23:17:48.486 12/03/1996]',0.014,0.022,83.400,19.225,7.625,0.474,27.000,-0.451
'[23:17:48.488 12/03/1996]',0.015,0.023,82.700,18.975,7.450,0.451,26.917,-0.453
'[23:17:48.490 12/03/1996]',0.016,0.024,82.700,18.975,7.450,0.451,26.917,-0.453
'[23:17:48.492 12/03/1996]',0.017,0.026,82.700,18.975,7.450,0.451,26.917,-0.453
'[23:17:48.494 12/03/1996]',0.018,0.029,82.700,18.975,7.450,0.451,26.917,-0.453
'[23:17:48.496 12/03/1996]',0.021,0.032,82.150,18.700,7.263,0.422,26.833,-0.455
'[23:17:48.498 12/03/1996]',0.024,0.034,82.150,18.700,7.263,0.422,26.833,-0.455
'[23:17:48.500 12/03/1996]',0.027,0.035,82.150,18.700,7.263,0.422,26.833,-0.455
'[23:17:48.502 12/03/1996]',0.030,0.035,82.150,18.700,7.263,0.422,26.833,-0.455
'[23:17:48.504 12/03/1996]',0.034,0.033,81.650,18.450,7.088,0.392,26.750,-0.457
'[23:17:48.506 12/03/1996]',0.038,0.031,81.650,18.450,7.088,0.392,26.750,-0.457
'[23:17:48.508 12/03/1996]',0.041,0.028,81.650,18.450,7.088,0.392,26.750,-0.457
'[23:17:48.510 12/03/1996]',0.043,0.024,81.650,18.450,7.088,0.392,26.750,-0.457
'[23:17:48.512 12/03/1996]',0.043,0.021,81.150,18.275,6.912,0.356,26.667,-0.458
'[23:17:48.514 12/03/1996]',0.043,0.018,81.150,18.275,6.912,0.356,26.667,-0.458
'[23:17:48.516 12/03/1996]',0.042,0.017,81.150,18.275,6.912,0.356,26.667,-0.458
'[23:17:48.518 12/03/1996]',0.040,0.016,81.150,18.275,6.912,0.356,26.667,-0.458
'[23:17:48.520 12/03/1996]',0.036,0.015,80.600,18.150,6.737,0.323,26.600,-0.459
'[23:17:48.522 12/03/1996]',0.033,0.014,80.600,18.150,6.737,0.323,26.600,-0.459
'[23:17:48.524 12/03/1996]',0.029,0.011,80.600,18.150,6.737,0.323,26.600,-0.459
'[23:17:48.526 12/03/1996]',0.024,0.008,80.600,18.150,6.737,0.323,26.600,-0.459
'[23:17:48.528 12/03/1996]',0.018,0.003,80.100,18.225,6.513,0.287,26.533,-0.460
'[23:17:48.530 12/03/1996]',0.012,-0.002,80.100,18.225,6.513,0.287,26.533,-0.460
'[23:17:48.532 12/03/1996]',0.007,-0.007,80.100,18.225,6.513,0.287,26.533,-0.460
'[23:17:48.534 12/03/1996]',0.002,-0.013,80.100,18.225,6.513,0.287,26.533,-0.460
'[23:17:48.536 12/03/1996]',-0.002,-0.018,79.650,18.450,6.275,0.252,26.467,-0.461
'[23:17:48.538 12/03/1996]',-0.006,-0.024,79.650,18.450,6.275,0.252,26.467,-0.461
'[23:17:48.540 12/03/1996]',-0.009,-0.028,79.650,18.450,6.275,0.252,26.467,-0.461
'[23:17:48.542 12/03/1996]',-0.013,-0.032,79.650,18.450,6.275,0.252,26.467,-0.461
'[23:17:48.544 12/03/1996]',-0.015,-0.034,79.300,18.800,6.037,0.214,26.400,-0.462
'[23:17:48.546 12/03/1996]',-0.018,-0.036,79.300,18.800,6.037,0.214,26.400,-0.462
'[23:17:48.548 12/03/1996]',-0.018,-0.037,79.300,18.800,6.037,0.214,26.400,-0.462
'[23:17:48.550 12/03/1996]',-0.019,-0.038,79.300,18.800,6.037,0.214,26.400,-0.462
'[23:17:48.552 12/03/1996]',-0.019,-0.039,79.100,19.150,5.862,0.179,26.300,-0.463
'[23:17:48.554 12/03/1996]',-0.020,-0.040,79.100,19.150,5.862,0.179,26.300,-0.463
'[23:17:48.556 12/03/1996]',-0.021,-0.041,79.100,19.150,5.862,0.179,26.300,-0.463
'[23:17:48.558 12/03/1996]',-0.021,-0.041,79.100,19.150,5.862,0.179,26.300,-0.463
'[23:17:48.560 12/03/1996]',-0.021,-0.041,78.900,19.450,5.688,0.141,26.200,-0.465
'[23:17:48.562 12/03/1996]',-0.020,-0.040,78.900,19.450,5.688,0.141,26.200,-0.465
'[23:17:48.564 12/03/1996]',-0.020,-0.040,78.900,19.450,5.688,0.141,26.200,-0.465
'[23:17:48.566 12/03/1996]',-0.020,-0.040,78.900,19.450,5.688,0.141,26.200,-0.465
'[23:17:48.568 12/03/1996]',-0.020,-0.041,78.750,19.625,5.575,0.108,26.100,-0.466
'[23:17:48.570 12/03/1996]',-0.020,-0.041,78.750,19.625,5.575,0.108,26.100,-0.466
'[23:17:48.572 12/03/1996]',-0.020,-0.042,78.750,19.625,5.575,0.108,26.100,-0.466
'[23:17:48.574 12/03/1996]',-0.020,-0.042,78.750,19.625,5.575,0.108,26.100,-0.466
'[23:17:48.576 12/03/1996]',-0.019,-0.042,78.500,19.575,5.450,0.073,26.000,-0.467
'[23:17:48.578 12/03/1996]',-0.019,-0.042,78.500,19.575,5.450,0.073,26.000,-0.467
'[23:17:48.580 12/03/1996]',-0.018,-0.042,78.500,19.575,5.450,0.073,26.000,-0.467
'[23:17:48.582 12/03/1996]',-0.018,-0.042,78.500,19.575,5.450,0.073,26.000,-0.467
'[23:17:48.584 12/03/1996]',-0.018,-0.042,78.300,19.275,5.338,0.039,25.950,-0.468
'[23:17:48.586 12/03/1996]',-0.019,-0.041,78.300,19.275,5.338,0.039,25.950,-0.468
'[23:17:48.588 12/03/1996]',-0.019,-0.040,78.300,19.275,5.338,0.039,25.950,-0.468
'[23:17:48.590 12/03/1996]',-0.019,-0.039,78.300,19.275,5.338,0.039,25.950,-0.468
'[23:17:48.592 12/03/1996]',-0.019,-0.038,78.150,18.925,5.275,0.006,25.933,-0.468
'[23:17:48.594 12/03/1996]',-0.019,-0.037,78.150,18.925,5.275,0.006,25.933,-0.468
'[23:17:48.596 12/03/1996]',-0.018,-0.037,78.150,18.925,5.275,0.006,25.933,-0.468
'[23:17:48.598 12/03/1996]',-0.018,-0.037,78.150,18.925,5.275,0.006,25.933,-0.468
'[23:17:48.600 12/03/1996]',-0.017,-0.037,78.050,18.450,5.275,-0.025,25.917,-0.467
'[23:17:48.602 12/03/1996]',-0.015,-0.037,78.050,18.450,5.275,-0.025,25.917,-0.467
'[23:17:48.604 12/03/1996]',-0.013,-0.036,78.050,18.450,5.275,-0.025,25.917,-0.467
'[23:17:48.606 12/03/1996]',-0.011,-0.036,78.050,18.450,5.275,-0.025,25.917,-0.467
'[23:17:48.608 12/03/1996]',-0.011,-0.035,77.900,17.975,5.338,-0.059,25.900,-0.467
'[23:17:48.610 12/03/1996]',-0.011,-0.034,77.900,17.975,5.338,-0.059,25.900,-0.467
'[23:17:48.612 12/03/1996]',-0.011,-0.033,77.900,17.975,5.338,-0.059,25.900,-0.467
'[23:17:48.614 12/03/1996]',-0.010,-0.032,77.900,17.975,5.338,-0.059,25.900,-0.467
'[23:17:48.616 12/03/1996]',-0.010,-0.031,77.800,17.350,5.513,-0.089,25.883,-0.467
'[23:17:48.618 12/03/1996]',-0.010,-0.030,77.800,17.350,5.513,-0.089,25.883,-0.467
'[23:17:48.620 12/03/1996]',-0.011,-0.029,77.800,17.350,5.513,-0.089,25.883,-0.467
'[23:17:48.622 12/03/1996]',-0.013,-0.029,77.800,17.350,5.513,-0.089,25.883,-0.467
'[23:17:48.624 12/03/1996]',-0.015,-0.029,77.600,16.525,5.750,-0.118,25.883,-0.468
'[23:17:48.626 12/03/1996]',-0.017,-0.030,77.600,16.525,5.750,-0.118,25.883,-0.468
'[23:17:48.628 12/03/1996]',-0.018,-0.029,77.600,16.525,5.750,-0.118,25.883,-0.468
'[23:17:48.630 12/03/1996]',-0.018,-0.029,77.600,16.525,5.750,-0.118,25.883,-0.468
'[23:17:48.632 12/03/1996]',-0.018,-0.028,77.450,15.525,6.037,-0.147,25.883,-0.470
'[23:17:48.634 12/03/1996]',-0.019,-0.027,77.450,15.525,6.037,-0.147,25.883,-0.470
'[23:17:48.636 12/03/1996]',-0.019,-0.026,77.450,15.525,6.037,-0.147,25.883,-0.470
'[23:17:48.638 12/03/1996]',-0.019,-0.025,77.450,15.525,6.037,-0.147,25.883,-0.470
'[23:17:48.640 12/03/1996]',-0.018,-0.026,77.350,14.400,6.325,-0.172,25.883,-0.472
'[23:17:48.642 12/03/1996]',-0.018,-0.027,77.350,14.400,6.325,-0.172,25.883,-0.472
'[23:17:48.644 12/03/1996]',-0.017,-0.029,77.350,14.400,6.325,-0.172,25.883,-0.472
'[23:17:48.646 12/03/1996]',-0.016,-0.030,77.350,14.400,6.325,-0.172,25.883,-0.472
'[23:17:48.648 12/03/1996]',-0.014,-0.030,77.400,13.250,6.625,-0.200,25.933,-0.474
'[23:17:48.650 12/03/1996]',-0.012,-0.031,77.400,13.250,6.625,-0.200,25.933,-0.474
'[23:17:48.652 12/03/1996]',-0.005,-0.028,77.400,13.250,6.625,-0.200,25.933,-0.474
'[23:17:48.654 12/03/1996]',0.002,-0.024,77.400,13.250,6.625,-0.200,25.933,-0.474
'[23:17:48.656 12/03/1996]',0.018,-0.013,77.450,12.125,6.800,-0.222,26.000,-0.475
'[23:17:48.658 12/03/1996]',0.034,-0.003,77.450,12.125,6.800,-0.222,26.000,-0.475
'[23:17:48.660 12/03/1996]',0.064,0.016,77.450,12.125,6.800,-0.222,26.000,-0.475
'[23:17:48.662 12/03/1996]',0.093,0.035,77.450,12.125,6.800,-0.222,26.000,-0.475
'[23:17:48.664 12/03/1996]',0.138,0.059,77.450,11.300,6.912,-0.245,26.067,-0.477
'[23:17:48.666 12/03/1996]',0.183,0.084,77.450,11.300,6.912,-0.245,26.067,-0.477
'[23:17:48.668 12/03/1996]',0.239,0.111,77.450,11.300,6.912,-0.245,26.067,-0.477
'[23:17:48.670 12/03/1996]',0.296,0.138,77.450,11.300,6.912,-0.245,26.067,-0.477
'[23:17:48.672 12/03/1996]',0.357,0.164,77.400,10.900,6.975,-0.267,26.133,-0.478
'[23:17:48.674 12/03/1996]',0.419,0.189,77.400,10.900,6.975,-0.267,26.133,-0.478
'[23:17:48.676 12/03/1996]',0.474,0.209,77.400,10.900,6.975,-0.267,26.133,-0.478
'[23:17:48.678 12/03/1996]',0.530,0.229,77.400,10.900,6.975,-0.267,26.133,-0.478
'[23:17:48.680 12/03/1996]',0.571,0.240,77.350,10.825,7.037,-0.287,26.167,-0.479
'[23:17:48.682 12/03/1996]',0.612,0.251,77.350,10.825,7.037,-0.287,26.167,-0.479
'[23:17:48.684 12/03/1996]',0.634,0.254,77.350,10.825,7.037,-0.287,26.167,-0.479
'[23:17:48.686 12/03/1996]',0.656,0.257,77.350,10.825,7.037,-0.287,26.167,-0.479
'[23:17:48.688 12/03/1996]',0.655,0.258,77.350,11.075,7.037,-0.304,26.200,-0.480
'[23:17:48.690 12/03/1996]',0.655,0.258,77.350,11.075,7.037,-0.304,26.200,-0.480
'[23:17:48.692 12/03/1996]',0.632,0.260,77.350,11.075,7.037,-0.304,26.200,-0.480
'[23:17:48.694 12/03/1996]',0.609,0.261,77.350,11.075,7.037,-0.304,26.200,-0.480
'[23:17:48.696 12/03/1996]',0.570,0.268,77.400,11.650,7.037,-0.320,26.233,-0.481
'[23:17:48.698 12/03/1996]',0.530,0.274,77.400,11.650,7.037,-0.320,26.233,-0.481
'[23:17:48.700 12/03/1996]',0.480,0.282,77.400,11.650,7.037,-0.320,26.233,-0.481
'[23:17:48.702 12/03/1996]',0.431,0.290,77.400,11.650,7.037,-0.320,26.233,-0.481
'[23:17:48.704 12/03/1996]',0.381,0.295,77.400,12.425,6.975,-0.335,26.267,-0.482
'[23:17:48.706 12/03/1996]',0.331,0.301,77.400,12.425,6.975,-0.335,26.267,-0.482
'[23:17:48.708 12/03/1996]',0.287,0.302,77.400,12.425,6.975,-0.335,26.267,-0.482
'[23:17:48.710 12/03/1996]',0.243,0.303,77.400,12.425,6.975,-0.335,26.267,-0.482
'[23:17:48.712 12/03/1996]',0.209,0.301,77.250,13.425,6.800,-0.349,26.217,-0.483
'[23:17:48.714 12/03/1996]',0.176,0.299,77.250,13.425,6.800,-0.349,26.217,-0.483
'[23:17:48.716 12/03/1996]',0.152,0.297,77.250,13.425,6.800,-0.349,26.217,-0.483
'[23:17:48.718 12/03/1996]',0.129,0.295,77.250,13.425,6.800,-0.349,26.217,-0.483
'[23:17:48.720 12/03/1996]',0.113,0.291,77.050,14.525,6.625,-0.362,26.183,-0.484
'[23:17:48.722 12/03/1996]',0.097,0.287,77.050,14.525,6.625,-0.362,26.183,-0.484
'[23:17:48.724 12/03/1996]',0.085,0.278,77.050,14.525,6.625,-0.362,26.183,-0.484
'[23:17:48.726 12/03/1996]',0.073,0.268,77.050,14.525,6.625,-0.362,26.183,-0.484
'[23:17:48.728 12/03/1996]',0.064,0.249,76.900,15.650,6.388,-0.374,26.150,-0.485
'[23:17:48.730 12/03/1996]',0.054,0.230,76.900,15.650,6.388,-0.374,26.150,-0.485
'[23:17:48.732 12/03/1996]',0.044,0.201,76.900,15.650,6.388,-0.374,26.150,-0.485
'[23:17:48.734 12/03/1996]',0.035,0.172,76.900,15.650,6.388,-0.374,26.150,-0.485
'[23:17:48.736 12/03/1996]',0.025,0.136,76.900,16.750,6.150,-0.386,26.117,-0.487
'[23:17:48.738 12/03/1996]',0.016,0.100,76.900,16.750,6.150,-0.386,26.117,-0.487
'[23:17:48.740 12/03/1996]',0.005,0.061,76.900,16.750,6.150,-0.386,26.117,-0.487
'[23:17:48.742 12/03/1996]',-0.005,0.023,76.900,16.750,6.150,-0.386,26.117,-0.487
'[23:17:48.744 12/03/1996]',-0.016,-0.013,77.000,17.700,5.925,-0.395,26.100,-0.488
'[23:17:48.746 12/03/1996]',-0.027,-0.050,77.000,17.700,5.925,-0.395,26.100,-0.488
'[23:17:48.748 12/03/1996]',-0.037,-0.080,77.000,17.700,5.925,-0.395,26.100,-0.488
'[23:17:48.750 12/03/1996]',-0.048,-0.110,77.000,17.700,5.925,-0.395,26.100,-0.488
'[23:17:48.752 12/03/1996]',-0.057,-0.130,76.900,18.225,5.688,-0.406,26.083,-0.489
'[23:17:48.754 12/03/1996]',-0.065,-0.149,76.900,18.225,5.688,-0.406,26.083,-0.489
'[23:17:48.756 12/03/1996]',-0.070,-0.158,76.900,18.225,5.688,-0.406,26.083,-0.489
'[23:17:48.758 12/03/1996]',-0.076,-0.167,76.900,18.225,5.688,-0.406,26.083,-0.489
'[23:17:48.760 12/03/1996]',-0.079,-0.166,76.700,18.150,5.513,-0.415,26.067,-0.490
'[23:17:48.762 12/03/1996]',-0.081,-0.164,76.700,18.150,5.513,-0.415,26.067,-0.490
'[23:17:48.764 12/03/1996]',-0.082,-0.157,76.700,18.150,5.513,-0.415,26.067,-0.490
'[23:17:48.766 12/03/1996]',-0.082,-0.149,76.700,18.150,5.513,-0.415,26.067,-0.490
'[23:17:48.768 12/03/1996]',-0.084,-0.136,76.450,17.525,5.388,-0.424,26.050,-0.491
'[23:17:48.770 12/03/1996]',-0.085,-0.123,76.450,17.525,5.388,-0.424,26.050,-0.491
'[23:17:48.772 12/03/1996]',-0.086,-0.108,76.450,17.525,5.388,-0.424,26.050,-0.491
'[23:17:48.774 12/03/1996]',-0.088,-0.093,76.450,17.525,5.388,-0.424,26.050,-0.491
'[23:17:48.776 12/03/1996]',-0.088,-0.078,76.400,16.450,5.213,-0.433,26.100,-0.493
'[23:17:48.778 12/03/1996]',-0.089,-0.063,76.400,16.450,5.213,-0.433,26.100,-0.493
'[23:17:48.780 12/03/1996]',-0.089,-0.050,76.400,16.450,5.213,-0.433,26.100,-0.493
'[23:17:48.782 12/03/1996]',-0.089,-0.036,76.400,16.450,5.213,-0.433,26.100,-0.493
'[23:17:48.784 12/03/1996]',-0.090,-0.025,76.400,15.300,5.100,-0.445,26.167,-0.496
'[23:17:48.786 12/03/1996]',-0.091,-0.014,76.400,15.300,5.100,-0.445,26.167,-0.496
'[23:17:48.788 12/03/1996]',-0.091,-0.005,76.400,15.300,5.100,-0.445,26.167,-0.496
'[23:17:48.790 12/03/1996]',-0.092,0.003,76.400,15.300,5.100,-0.445,26.167,-0.496
'[23:17:48.792 12/03/1996]',-0.092,0.009,76.400,14.575,4.987,-0.453,26.233,-0.500
'[23:17:48.794 12/03/1996]',-0.092,0.014,76.400,14.575,4.987,-0.453,26.233,-0.500
'[23:17:48.796 12/03/1996]',-0.092,0.018,76.400,14.575,4.987,-0.453,26.233,-0.500
'[23:17:48.798 12/03/1996]',-0.093,0.022,76.400,14.575,4.987,-0.453,26.233,-0.500
'[23:17:48.800 12/03/1996]',-0.094,0.025,76.250,14.700,4.925,-0.461,26.300,-0.503
'[23:17:48.802 12/03/1996]',-0.095,0.027,76.250,14.700,4.925,-0.461,26.300,-0.503
'[23:17:48.804 12/03/1996]',-0.096,0.029,76.250,14.700,4.925,-0.461,26.300,-0.503
'[23:17:48.806 12/03/1996]',-0.096,0.030,76.250,14.700,4.925,-0.461,26.300,-0.503
'[23:17:48.808 12/03/1996]',-0.096,0.032,76.150,15.825,4.925,-0.471,26.417,-0.507
'[23:17:48.810 12/03/1996]',-0.096,0.033,76.150,15.825,4.925,-0.471,26.417,-0.507
'[23:17:48.812 12/03/1996]',-0.096,0.035,76.150,15.825,4.925,-0.471,26.417,-0.507
'[23:17:48.814 12/03/1996]',-0.096,0.036,76.150,15.825,4.925,-0.471,26.417,-0.507
'[23:17:48.816 12/03/1996]',-0.097,0.037,76.050,17.800,4.925,-0.479,26.550,-0.510
'[23:17:48.818 12/03/1996]',-0.098,0.038,76.050,17.800,4.925,-0.479,26.550,-0.510
'[23:17:48.820 12/03/1996]',-0.099,0.041,76.050,17.800,4.925,-0.479,26.550,-0.510
'[23:17:48.822 12/03/1996]',-0.100,0.044,76.050,17.800,4.925,-0.479,26.550,-0.510
'[23:17:48.824 12/03/1996]',-0.101,0.046,76.050,20.150,4.987,-0.486,26.683,-0.513
'[23:17:48.826 12/03/1996]',-0.102,0.048,76.050,20.150,4.987,-0.486,26.683,-0.513
'[23:17:48.828 12/03/1996]',-0.103,0.051,76.050,20.150,4.987,-0.486,26.683,-0.513
'[23:17:48.830 12/03/1996]',-0.104,0.053,76.050,20.150,4.987,-0.486,26.683,-0.513
'[23:17:48.832 12/03/1996]',-0.105,0.056,76.100,22.025,4.987,-0.493,26.817,-0.516
'[23:17:48.834 12/03/1996]',-0.107,0.058,76.100,22.025,4.987,-0.493,26.817,-0.516
'[23:17:48.836 12/03/1996]',-0.108,0.059,76.100,22.025,4.987,-0.493,26.817,-0.516
'[23:17:48.838 12/03/1996]',-0.110,0.060,76.100,22.025,4.987,-0.493,26.817,-0.516
'[23:17:48.840 12/03/1996]',-0.113,0.061,76.100,23.075,4.925,-0.502,26.867,-0.518
'[23:17:48.842 12/03/1996]',-0.115,0.062,76.100,23.075,4.925,-0.502,26.867,-0.518
'[23:17:48.844 12/03/1996]',-0.117,0.064,76.100,23.075,4.925,-0.502,26.867,-0.518
'[23:17:48.846 12/03/1996]',-0.118,0.066,76.100,23.075,4.925,-0.502,26.867,-0.518
'[23:17:48.848 12/03/1996]',-0.120,0.068,76.000,23.550,4.925,-0.508,26.950,-0.521
'[23:17:48.850 12/03/1996]',-0.122,0.070,76.000,23.550,4.925,-0.508,26.950,-0.521
'[23:17:48.852 12/03/1996]',-0.124,0.072,76.000,23.550,4.925,-0.508,26.950,-0.521
'[23:17:48.854 12/03/1996]',-0.126,0.075,76.000,23.550,4.925,-0.508,26.950,-0.521
'[23:17:48.856 12/03/1996]',-0.127,0.077,75.850,23.900,4.925,-0.512,27.033,-0.523
'[23:17:48.858 12/03/1996]',-0.128,0.080,75.850,23.900,4.925,-0.512,27.033,-0.523
'[23:17:48.860 12/03/1996]',-0.129,0.084,75.850,23.900,4.925,-0.512,27.033,-0.523
'[23:17:48.862 12/03/1996]',-0.130,0.087,75.850,23.900,4.925,-0.512,27.033,-0.523
'[23:17:48.864 12/03/1996]',-0.131,0.091,76.000,24.375,4.987,-0.517,27.117,-0.525
'[23:17:48.866 12/03/1996]',-0.131,0.096,76.000,24.375,4.987,-0.517,27.117,-0.525
'[23:17:48.868 12/03/1996]',-0.132,0.101,76.000,24.375,4.987,-0.517,27.117,-0.525
'[23:17:48.870 12/03/1996]',-0.133,0.105,76.000,24.375,4.987,-0.517,27.117,-0.525
'[23:17:48.872 12/03/1996]',-0.134,0.110,76.600,25.075,5.037,-0.520,27.100,-0.527
'[23:17:48.874 12/03/1996]',-0.134,0.114,76.600,25.075,5.037,-0.520,27.100,-0.527
'[23:17:48.876 12/03/1996]',-0.134,0.117,76.600,25.075,5.037,-0.520,27.100,-0.527
'[23:17:48.878 12/03/1996]',-0.133,0.119,76.600,25.075,5.037,-0.520,27.100,-0.527
'[23:17:48.880 12/03/1996]',-0.133,0.121,77.850,26.125,5.100,-0.523,27.133,-0.529
'[23:17:48.882 12/03/1996]',-0.132,0.123,77.850,26.125,5.100,-0.523,27.133,-0.529
'[23:17:48.884 12/03/1996]',-0.132,0.125,77.850,26.125,5.100,-0.523,27.133,-0.529
'[23:17:48.886 12/03/1996]',-0.131,0.127,77.850,26.125,5.100,-0.523,27.133,-0.529
'[23:17:48.888 12/03/1996]',-0.129,0.129,79.400,27.425,5.213,-0.520,27.167,-0.530
'[23:17:48.890 12/03/1996]',-0.127,0.130,79.400,27.425,5.213,-0.520,27.167,-0.530
'[23:17:48.892 12/03/1996]',-0.124,0.132,79.400,27.425,5.213,-0.520,27.167,-0.530
'[23:17:48.894 12/03/1996]',-0.121,0.133,79.400,27.425,5.213,-0.520,27.167,-0.530
'[23:17:48.896 12/03/1996]',-0.117,0.135,80.500,28.700,5.275,-0.517,27.200,-0.531
'[23:17:48.898 12/03/1996]',-0.114,0.136,80.500,28.700,5.275,-0.517,27.200,-0.531
'[23:17:48.900 12/03/1996]',-0.109,0.137,80.500,28.700,5.275,-0.517,27.200,-0.531
'[23:17:48.902 12/03/1996]',-0.104,0.137,80.500,28.700,5.275,-0.517,27.200,-0.531
'[23:17:48.904 12/03/1996]',-0.098,0.137,80.850,29.825,5.338,-0.506,27.200,-0.532
'[23:17:48.906 12/03/1996]',-0.092,0.137,80.850,29.825,5.338,-0.506,27.200,-0.532
'[23:17:48.908 12/03/1996]',-0.086,0.137,80.850,29.825,5.338,-0.506,27.200,-0.532
'[23:17:48.910 12/03/1996]',-0.079,0.137,80.850,29.825,5.338,-0.506,27.200,-0.532
'[23:17:48.912 12/03/1996]',-0.073,0.137,81.000,30.650,5.450,-0.490,27.200,-0.533
'[23:17:48.914 12/03/1996]',-0.067,0.136,81.000,30.650,5.450,-0.490,27.200,-0.533
'[23:17:48.916 12/03/1996]',-0.062,0.135,81.000,30.650,5.450,-0.490,27.200,-0.533
'[23:17:48.918 12/03/1996]',-0.057,0.133,81.000,30.650,5.450,-0.490,27.200,-0.533
'[23:17:48.920 12/03/1996]',-0.052,0.132,82.050,31.050,5.625,-0.468,27.200,-0.533
'[23:17:48.922 12/03/1996]',-0.048,0.131,82.050,31.050,5.625,-0.468,27.200,-0.533
'[23:17:48.924 12/03/1996]',-0.043,0.129,82.050,31.050,5.625,-0.468,27.200,-0.533
'[23:17:48.926 12/03/1996]',-0.037,0.127,82.050,31.050,5.625,-0.468,27.200,-0.533
'[23:17:48.928 12/03/1996]',-0.033,0.126,83.900,31.100,5.862,-0.436,27.200,-0.534
'[23:17:48.930 12/03/1996]',-0.029,0.124,83.900,31.100,5.862,-0.436,27.200,-0.534
'[23:17:48.932 12/03/1996]',-0.025,0.123,83.900,31.100,5.862,-0.436,27.200,-0.534
'[23:17:48.934 12/03/1996]',-0.021,0.122,83.900,31.100,5.862,-0.436,27.200,-0.534
'[23:17:48.936 12/03/1996]',-0.017,0.119,85.600,30.875,6.037,-0.398,27.233,-0.534
