'Time and date','II ','MCL1 ','V ','ABP ','RESP '
'[14:18:05.476 18/05/1995]',0.206,0.131,0.030,56.995,0.281
'[14:18:05.478 18/05/1995]',0.206,0.131,0.030,56.995,0.281
'[14:18:05.480 18/05/1995]',0.206,0.123,0.020,56.845,0.271
'[14:18:05.482 18/05/1995]',0.206,0.131,0.030,56.845,0.271
'[14:18:05.484 18/05/1995]',0.206,0.131,0.020,56.845,0.271
'[14:18:05.486 18/05/1995]',0.226,0.131,0.020,56.845,0.271
'[14:18:05.488 18/05/1995]',0.226,0.131,0.010,56.694,0.261
'[14:18:05.490 18/05/1995]',0.226,0.131,0.010,56.694,0.261
'[14:18:05.492 18/05/1995]',0.247,0.131,0.010,56.694,0.261
'[14:18:05.494 18/05/1995]',0.247,0.131,0.010,56.694,0.261
'[14:18:05.496 18/05/1995]',0.247,0.131,0.010,56.694,0.251
'[14:18:05.498 18/05/1995]',0.247,0.131,0.010,56.694,0.251
'[14:18:05.500 18/05/1995]',0.267,0.131,0.001,56.694,0.251
'[14:18:05.502 18/05/1995]',0.267,0.131,0.001,56.694,0.251
'[14:18:05.504 18/05/1995]',0.287,0.131,0.001,56.694,0.240
'[14:18:05.506 18/05/1995]',0.287,0.140,0.001,56.694,0.240
'[14:18:05.508 18/05/1995]',0.287,0.131,0.001,56.694,0.240
'[14:18:05.510 18/05/1995]',0.267,0.131,0.010,56.694,0.240
'[14:18:05.512 18/05/1995]',0.267,0.140,0.010,56.694,0.230
'[14:18:05.514 18/05/1995]',0.267,0.131,0.020,56.694,0.230
'[14:18:05.516 18/05/1995]',0.267,0.131,0.010,56.694,0.230
'[14:18:05.518 18/05/1995]',0.267,0.131,0.001,56.694,0.230
'[14:18:05.520 18/05/1995]',0.287,0.131,0.001,56.694,0.219
'[14:18:05.522 18/05/1995]',0.287,0.140,0.001,56.694,0.219
'[14:18:05.524 18/05/1995]',0.287,0.140,0.001,56.694,0.219
'[14:18:05.526 18/05/1995]',0.287,0.140,0.001,56.694,0.219
'[14:18:05.528 18/05/1995]',0.287,0.131,0.010,56.895,0.208
'[14:18:05.530 18/05/1995]',0.287,0.131,0.010,56.895,0.208
'[14:18:05.532 18/05/1995]',0.287,0.140,0.010,56.895,0.208
'[14:18:05.534 18/05/1995]',0.287,0.140,0.001,56.895,0.208
'[14:18:05.536 18/05/1995]',0.307,0.140,0.001,57.295,0.197
'[14:18:05.538 18/05/1995]',0.307,0.149,0.001,57.295,0.197
'[14:18:05.540 18/05/1995]',0.327,0.149,0.001,57.295,0.197
'[14:18:05.542 18/05/1995]',0.307,0.140,0.001,57.295,0.197
'[14:18:05.544 18/05/1995]',0.307,0.140,0.001,58.097,0.185
'[14:18:05.546 18/05/1995]',0.287,0.131,0.001,58.097,0.185
'[14:18:05.548 18/05/1995]',0.287,0.131,0.001,58.097,0.185
'[14:18:05.550 18/05/1995]',0.287,0.140,0.001,58.097,0.185
'[14:18:05.552 18/05/1995]',0.307,0.140,0.001,59.399,0.174
'[14:18:05.554 18/05/1995]',0.307,0.140,0.001,59.399,0.174
'[14:18:05.556 18/05/1995]',0.307,0.140,0.001,59.399,0.174
'[14:18:05.558 18/05/1995]',0.307,0.131,0.001,59.399,0.174
'[14:18:05.560 18/05/1995]',0.307,0.140,0.001,61.402,0.163
'[14:18:05.562 18/05/1995]',0.287,0.131,0.001,61.402,0.163
'[14:18:05.564 18/05/1995]',0.267,0.131,0.001,61.402,0.163
'[14:18:05.566 18/05/1995]',0.267,0.123,0.001,61.402,0.163
'[14:18:05.568 18/05/1995]',0.267,0.123,0.001,64.057,0.153
'[14:18:05.570 18/05/1995]',0.267,0.123,0.001,64.057,0.153
'[14:18:05.572 18/05/1995]',0.287,0.123,0.001,64.057,0.153
'[14:18:05.574 18/05/1995]',0.267,0.114,0.001,64.057,0.153
'[14:18:05.576 18/05/1995]',0.267,0.114,0.001,67.262,0.144
'[14:18:05.578 18/05/1995]',0.247,0.114,0.001,67.262,0.144
'[14:18:05.580 18/05/1995]',0.247,0.105,0.001,67.262,0.144
'[14:18:05.582 18/05/1995]',0.247,0.114,0.001,67.262,0.144
'[14:18:05.584 18/05/1995]',0.226,0.105,0.001,70.968,0.136
'[14:18:05.586 18/05/1995]',0.226,0.105,0.001,70.968,0.136
'[14:18:05.588 18/05/1995]',0.226,0.105,0.001,70.968,0.136
'[14:18:05.590 18/05/1995]',0.226,0.097,0.001,70.968,0.136
'[14:18:05.592 18/05/1995]',0.226,0.105,0.001,74.925,0.128
'[14:18:05.594 18/05/1995]',0.206,0.097,0.001,74.925,0.128
'[14:18:05.596 18/05/1995]',0.206,0.097,0.001,74.925,0.128
'[14:18:05.598 18/05/1995]',0.206,0.097,0.001,74.925,0.128
'[14:18:05.600 18/05/1995]',0.206,0.097,0.001,79.032,0.121
'[14:18:05.602 18/05/1995]',0.206,0.097,0.001,79.032,0.121
'[14:18:05.604 18/05/1995]',0.206,0.088,0.001,79.032,0.121
'[14:18:05.606 18/05/1995]',0.206,0.097,0.001,79.032,0.121
'[14:18:05.608 18/05/1995]',0.206,0.097,0.001,82.988,0.115
'[14:18:05.610 18/05/1995]',0.185,0.088,0.001,82.988,0.115
'[14:18:05.612 18/05/1995]',0.185,0.079,0.001,82.988,0.115
'[14:18:05.614 18/05/1995]',0.165,0.079,0.001,82.988,0.115
'[14:18:05.616 18/05/1995]',0.165,0.079,0.001,86.644,0.108
'[14:18:05.618 18/05/1995]',0.165,0.079,0.001,86.644,0.108
'[14:18:05.620 18/05/1995]',0.185,0.079,0.001,86.644,0.108
'[14:18:05.622 18/05/1995]',0.185,0.079,-0.009,86.644,0.108
'[14:18:05.624 18/05/1995]',0.185,0.079,0.001,89.749,0.102
'[14:18:05.626 18/05/1995]',0.165,0.070,0.001,89.749,0.102
'[14:18:05.628 18/05/1995]',0.165,0.062,0.001,89.749,0.102
'[14:18:05.630 18/05/1995]',0.144,0.062,0.001,89.749,0.102
'[14:18:05.632 18/05/1995]',0.144,0.062,0.001,92.153,0.097
'[14:18:05.634 18/05/1995]',0.144,0.062,0.001,92.153,0.097
'[14:18:05.636 18/05/1995]',0.144,0.053,0.001,92.153,0.097
'[14:18:05.638 18/05/1995]',0.144,0.053,-0.009,92.153,0.097
'[14:18:05.640 18/05/1995]',0.144,0.044,-0.009,93.756,0.090
'[14:18:05.642 18/05/1995]',0.124,0.053,0.001,93.756,0.090
'[14:18:05.644 18/05/1995]',0.124,0.044,0.001,93.756,0.090
'[14:18:05.646 18/05/1995]',0.103,0.035,0.001,93.756,0.090
'[14:18:05.648 18/05/1995]',0.103,0.035,0.001,94.457,0.084
'[14:18:05.650 18/05/1995]',0.083,0.027,0.001,94.457,0.084
'[14:18:05.652 18/05/1995]',0.083,0.035,-0.009,94.457,0.084
'[14:18:05.654 18/05/1995]',0.103,0.027,-0.009,94.457,0.084
'[14:18:05.656 18/05/1995]',0.083,0.018,-0.009,94.357,0.077
'[14:18:05.658 18/05/1995]',0.083,0.018,-0.009,94.357,0.077
'[14:18:05.660 18/05/1995]',0.083,0.018,0.001,94.357,0.077
'[14:18:05.662 18/05/1995]',0.062,0.009,0.001,94.357,0.077
'[14:18:05.664 18/05/1995]',0.042,0.009,0.001,93.406,0.070
'[14:18:05.666 18/05/1995]',0.042,0.009,0.001,93.406,0.070
'[14:18:05.668 18/05/1995]',0.042,0.018,0.001,93.406,0.070
'[14:18:05.670 18/05/1995]',0.062,0.018,0.001,93.406,0.070
'[14:18:05.672 18/05/1995]',0.042,0.018,-0.009,91.703,0.064
'[14:18:05.674 18/05/1995]',0.042,0.009,-0.009,91.703,0.064
'[14:18:05.676 18/05/1995]',0.042,0.001,0.001,91.703,0.064
'[14:18:05.678 18/05/1995]',0.042,0.001,0.001,91.703,0.064
'[14:18:05.680 18/05/1995]',0.021,0.001,0.001,89.349,0.057
'[14:18:05.682 18/05/1995]',0.021,0.009,0.001,89.349,0.057
'[14:18:05.684 18/05/1995]',0.021,0.009,0.001,89.349,0.057
'[14:18:05.686 18/05/1995]',0.021,0.009,0.001,89.349,0.057
'[14:18:05.688 18/05/1995]',0.021,0.009,0.001,86.544,0.050
'[14:18:05.690 18/05/1995]',0.021,0.009,0.001,86.544,0.050
'[14:18:05.692 18/05/1995]',0.021,0.001,0.001,86.544,0.050
'[14:18:05.694 18/05/1995]',0.002,0.001,0.001,86.544,0.050
'[14:18:05.696 18/05/1995]',0.002,0.001,0.001,83.489,0.043
'[14:18:05.698 18/05/1995]',0.002,0.001,0.001,83.489,0.043
'[14:18:05.700 18/05/1995]',0.002,0.001,0.001,83.489,0.043
'[14:18:05.702 18/05/1995]',0.021,0.001,0.001,83.489,0.043
'[14:18:05.704 18/05/1995]',0.021,0.001,-0.009,80.434,0.037
'[14:18:05.706 18/05/1995]',0.042,0.001,-0.009,80.434,0.037
'[14:18:05.708 18/05/1995]',0.021,0.001,0.001,80.434,0.037
'[14:18:05.710 18/05/1995]',0.021,0.001,0.001,80.434,0.037
'[14:18:05.712 18/05/1995]',0.021,0.001,0.001,77.429,0.031
'[14:18:05.714 18/05/1995]',0.002,0.001,0.001,77.429,0.031
'[14:18:05.716 18/05/1995]',0.002,0.001,0.001,77.429,0.031
'[14:18:05.718 18/05/1995]',0.002,0.001,0.001,77.429,0.031
'[14:18:05.720 18/05/1995]',0.002,0.001,-0.009,74.724,0.025
'[14:18:05.722 18/05/1995]',0.002,0.001,0.001,74.724,0.025
'[14:18:05.724 18/05/1995]',0.002,0.001,0.001,74.724,0.025
'[14:18:05.726 18/05/1995]',0.002,0.001,0.001,74.724,0.025
'[14:18:05.728 18/05/1995]',0.002,0.001,0.001,72.370,0.018
'[14:18:05.730 18/05/1995]',0.002,0.001,0.001,72.370,0.018
'[14:18:05.732 18/05/1995]',0.002,0.001,0.001,72.370,0.018
'[14:18:05.734 18/05/1995]',0.002,0.001,0.001,72.370,0.018
'[14:18:05.736 18/05/1995]',0.002,0.001,0.001,70.317,0.011
'[14:18:05.738 18/05/1995]',0.002,0.001,0.001,70.317,0.011
'[14:18:05.740 18/05/1995]',0.002,0.001,0.001,70.317,0.011
'[14:18:05.742 18/05/1995]',0.002,0.001,0.001,70.317,0.011
'[14:18:05.744 18/05/1995]',0.002,0.001,0.001,68.564,0.004
'[14:18:05.746 18/05/1995]',0.002,0.001,0.001,68.564,0.004
'[14:18:05.748 18/05/1995]',0.002,0.001,0.001,68.564,0.004
'[14:18:05.750 18/05/1995]',0.002,0.001,0.001,68.564,0.004
'[14:18:05.752 18/05/1995]',0.002,0.001,0.001,67.112,-0.003
'[14:18:05.754 18/05/1995]',0.002,0.001,0.001,67.112,-0.003
'[14:18:05.756 18/05/1995]',0.002,0.001,0.001,67.112,-0.003
'[14:18:05.758 18/05/1995]',0.002,0.001,0.001,67.112,-0.003
'[14:18:05.760 18/05/1995]',0.002,0.001,0.001,65.910,-0.009
'[14:18:05.762 18/05/1995]',0.002,0.001,0.001,65.910,-0.009
'[14:18:05.764 18/05/1995]',0.002,0.001,0.001,65.910,-0.009
'[14:18:05.766 18/05/1995]',0.002,0.001,0.001,65.910,-0.009
'[14:18:05.768 18/05/1995]',0.002,0.001,0.001,65.008,-0.015
'[14:18:05.770 18/05/1995]',0.021,0.001,0.001,65.008,-0.015
'[14:18:05.772 18/05/1995]',0.002,0.001,0.001,65.008,-0.015
'[14:18:05.774 18/05/1995]',0.002,0.001,0.001,65.008,-0.015
'[14:18:05.776 18/05/1995]',0.002,-0.008,0.001,64.307,-0.021
'[14:18:05.778 18/05/1995]',0.002,-0.017,0.001,64.307,-0.021
'[14:18:05.780 18/05/1995]',0.002,-0.008,0.001,64.307,-0.021
'[14:18:05.782 18/05/1995]',0.002,-0.008,0.001,64.307,-0.021
'[14:18:05.784 18/05/1995]',0.002,-0.008,0.001,63.806,-0.027
'[14:18:05.786 18/05/1995]',0.002,-0.008,0.001,63.806,-0.027
'[14:18:05.788 18/05/1995]',0.002,-0.008,0.001,63.806,-0.027
'[14:18:05.790 18/05/1995]',0.002,-0.017,0.001,63.806,-0.027
'[14:18:05.792 18/05/1995]',0.002,-0.008,0.001,63.506,-0.032
'[14:18:05.794 18/05/1995]',0.002,-0.008,0.001,63.506,-0.032
'[14:18:05.796 18/05/1995]',0.002,-0.008,0.001,63.506,-0.032
'[14:18:05.798 18/05/1995]',0.002,-0.008,0.001,63.506,-0.032
'[14:18:05.800 18/05/1995]',0.002,-0.008,0.001,63.355,-0.036
'[14:18:05.802 18/05/1995]',0.002,0.001,0.001,63.355,-0.036
'[14:18:05.804 18/05/1995]',0.002,0.001,0.001,63.355,-0.036
'[14:18:05.806 18/05/1995]',0.002,0.001,0.001,63.355,-0.036
'[14:18:05.808 18/05/1995]',0.002,0.001,0.001,63.355,-0.040
'[14:18:05.810 18/05/1995]',0.002,-0.008,0.001,63.355,-0.040
'[14:18:05.812 18/05/1995]',0.002,-0.008,0.001,63.355,-0.040
'[14:18:05.814 18/05/1995]',0.002,-0.017,0.001,63.355,-0.040
'[14:18:05.816 18/05/1995]',0.002,0.001,0.001,63.355,-0.044
'[14:18:05.818 18/05/1995]',0.002,-0.008,0.001,63.355,-0.044
'[14:18:05.820 18/05/1995]',0.002,-0.008,0.001,63.355,-0.044
'[14:18:05.822 18/05/1995]',0.002,-0.008,0.001,63.355,-0.044
'[14:18:05.824 18/05/1995]',0.002,0.001,0.001,63.406,-0.050
'[14:18:05.826 18/05/1995]',0.002,0.001,0.001,63.406,-0.050
'[14:18:05.828 18/05/1995]',0.002,-0.008,0.001,63.406,-0.050
'[14:18:05.830 18/05/1995]',0.002,-0.008,0.001,63.406,-0.050
'[14:18:05.832 18/05/1995]',0.002,-0.017,0.001,63.556,-0.056
'[14:18:05.834 18/05/1995]',0.002,-0.008,0.001,63.556,-0.056
'[14:18:05.836 18/05/1995]',0.002,-0.017,0.001,63.556,-0.056
'[14:18:05.838 18/05/1995]',0.002,-0.017,-0.009,63.556,-0.056
'[14:18:05.840 18/05/1995]',0.002,-0.017,0.001,63.706,-0.063
'[14:18:05.842 18/05/1995]',-0.019,-0.025,0.001,63.706,-0.063
'[14:18:05.844 18/05/1995]',-0.039,-0.025,0.001,63.706,-0.063
'[14:18:05.846 18/05/1995]',-0.039,-0.025,0.001,63.706,-0.063
'[14:18:05.848 18/05/1995]',-0.039,-0.034,0.001,63.856,-0.070
'[14:18:05.850 18/05/1995]',-0.039,-0.034,0.001,63.856,-0.070
'[14:18:05.852 18/05/1995]',-0.039,-0.034,0.001,63.856,-0.070
'[14:18:05.854 18/05/1995]',-0.039,-0.034,0.001,63.856,-0.070
'[14:18:05.856 18/05/1995]',-0.019,-0.034,0.001,64.107,-0.078
'[14:18:05.858 18/05/1995]',-0.019,-0.025,0.001,64.107,-0.078
'[14:18:05.860 18/05/1995]',-0.039,-0.034,0.001,64.107,-0.078
'[14:18:05.862 18/05/1995]',-0.060,-0.043,0.001,64.107,-0.078
'[14:18:05.864 18/05/1995]',-0.100,-0.052,0.010,64.357,-0.086
'[14:18:05.866 18/05/1995]',-0.100,-0.060,0.001,64.357,-0.086
'[14:18:05.868 18/05/1995]',-0.121,-0.069,0.001,64.357,-0.086
'[14:18:05.870 18/05/1995]',-0.141,-0.078,-0.009,64.357,-0.086
'[14:18:05.872 18/05/1995]',-0.162,-0.095,-0.009,64.658,-0.093
'[14:18:05.874 18/05/1995]',-0.162,-0.113,-0.009,64.658,-0.093
'[14:18:05.876 18/05/1995]',-0.182,-0.130,-0.019,64.658,-0.093
'[14:18:05.878 18/05/1995]',-0.203,-0.130,-0.019,64.658,-0.093
'[14:18:05.880 18/05/1995]',-0.244,-0.139,-0.009,64.858,-0.100
'[14:18:05.882 18/05/1995]',-0.264,-0.148,-0.009,64.858,-0.100
'[14:18:05.884 18/05/1995]',-0.304,-0.139,-0.009,64.858,-0.100
'[14:18:05.886 18/05/1995]',-0.325,-0.148,-0.009,64.858,-0.100
'[14:18:05.888 18/05/1995]',-0.366,-0.156,-0.009,65.108,-0.107
'[14:18:05.890 18/05/1995]',-0.407,-0.174,-0.009,65.108,-0.107
'[14:18:05.892 18/05/1995]',-0.447,-0.200,0.001,65.108,-0.107
'[14:18:05.894 18/05/1995]',-0.488,-0.235,-0.009,65.108,-0.107
'[14:18:05.896 18/05/1995]',-0.529,-0.261,-0.028,65.359,-0.114
'[14:18:05.898 18/05/1995]',-0.550,-0.287,-0.038,65.359,-0.114
'[14:18:05.900 18/05/1995]',-0.570,-0.305,-0.048,65.359,-0.114
'[14:18:05.902 18/05/1995]',-0.550,-0.322,-0.067,65.359,-0.114
'[14:18:05.904 18/05/1995]',-0.550,-0.331,-0.067,65.509,-0.121
'[14:18:05.906 18/05/1995]',-0.550,-0.340,-0.067,65.509,-0.121
'[14:18:05.908 18/05/1995]',-0.590,-0.348,-0.058,65.509,-0.121
'[14:18:05.910 18/05/1995]',-0.610,-0.357,-0.048,65.509,-0.121
'[14:18:05.912 18/05/1995]',-0.631,-0.357,-0.038,65.709,-0.128
'[14:18:05.914 18/05/1995]',-0.651,-0.348,-0.019,65.709,-0.128
'[14:18:05.916 18/05/1995]',-0.651,-0.348,-0.019,65.709,-0.128
'[14:18:05.918 18/05/1995]',-0.672,-0.357,-0.019,65.709,-0.128
'[14:18:05.920 18/05/1995]',-0.672,-0.348,-0.009,65.810,-0.135
'[14:18:05.922 18/05/1995]',-0.692,-0.357,-0.009,65.810,-0.135
'[14:18:05.924 18/05/1995]',-0.692,-0.357,0.001,65.810,-0.135
'[14:18:05.926 18/05/1995]',-0.713,-0.357,0.001,65.810,-0.135
'[14:18:05.928 18/05/1995]',-0.733,-0.348,0.020,65.810,-0.141
'[14:18:05.930 18/05/1995]',-0.733,-0.348,0.020,65.810,-0.141
'[14:18:05.932 18/05/1995]',-0.753,-0.340,0.040,65.810,-0.141
'[14:18:05.934 18/05/1995]',-0.753,-0.322,0.040,65.810,-0.141
'[14:18:05.936 18/05/1995]',-0.733,-0.305,0.040,65.810,-0.146
'[14:18:05.938 18/05/1995]',-0.713,-0.287,0.040,65.810,-0.146
'[14:18:05.940 18/05/1995]',-0.692,-0.278,0.040,65.810,-0.146
'[14:18:05.942 18/05/1995]',-0.672,-0.270,0.049,65.810,-0.146
'[14:18:05.944 18/05/1995]',-0.651,-0.261,0.049,65.609,-0.151
'[14:18:05.946 18/05/1995]',-0.631,-0.261,0.049,65.609,-0.151
'[14:18:05.948 18/05/1995]',-0.590,-0.244,0.040,65.609,-0.151
'[14:18:05.950 18/05/1995]',-0.550,-0.226,0.040,65.609,-0.151
'[14:18:05.952 18/05/1995]',-0.488,-0.200,0.030,65.459,-0.155
'[14:18:05.954 18/05/1995]',-0.427,-0.191,0.020,65.459,-0.155
'[14:18:05.956 18/05/1995]',-0.366,-0.174,0.010,65.459,-0.155
'[14:18:05.958 18/05/1995]',-0.325,-0.156,0.010,65.459,-0.155
'[14:18:05.960 18/05/1995]',-0.285,-0.139,0.010,65.209,-0.159
'[14:18:05.962 18/05/1995]',-0.244,-0.130,0.010,65.209,-0.159
'[14:18:05.964 18/05/1995]',-0.203,-0.104,0.020,65.209,-0.159
'[14:18:05.966 18/05/1995]',-0.182,-0.078,0.010,65.209,-0.159
'[14:18:05.968 18/05/1995]',-0.162,-0.060,0.010,64.908,-0.162
'[14:18:05.970 18/05/1995]',-0.121,-0.052,0.010,64.908,-0.162
'[14:18:05.972 18/05/1995]',-0.100,-0.034,0.001,64.908,-0.162
'[14:18:05.974 18/05/1995]',-0.080,-0.025,0.001,64.908,-0.162
'[14:18:05.976 18/05/1995]',-0.060,-0.025,0.001,64.708,-0.164
'[14:18:05.978 18/05/1995]',-0.080,-0.025,0.020,64.708,-0.164
'[14:18:05.980 18/05/1995]',-0.060,-0.017,0.020,64.708,-0.164
'[14:18:05.982 18/05/1995]',-0.039,0.001,0.010,64.708,-0.164
'[14:18:05.984 18/05/1995]',0.002,0.009,0.001,64.457,-0.166
'[14:18:05.986 18/05/1995]',0.021,0.018,0.001,64.457,-0.166
'[14:18:05.988 18/05/1995]',0.042,0.035,0.001,64.457,-0.166
'[14:18:05.990 18/05/1995]',0.083,0.053,0.001,64.457,-0.166
'[14:18:05.992 18/05/1995]',0.083,0.062,0.001,64.207,-0.168
'[14:18:05.994 18/05/1995]',0.103,0.070,0.001,64.207,-0.168
'[14:18:05.996 18/05/1995]',0.103,0.070,0.010,64.207,-0.168
'[14:18:05.998 18/05/1995]',0.144,0.088,0.001,64.207,-0.168
'[14:18:06.000 18/05/1995]',0.165,0.105,0.001,64.057,-0.170
'[14:18:06.002 18/05/1995]',0.206,0.114,0.001,64.057,-0.170
'[14:18:06.004 18/05/1995]',0.226,0.123,0.001,64.057,-0.170
'[14:18:06.006 18/05/1995]',0.226,0.131,0.001,64.057,-0.170
'[14:18:06.008 18/05/1995]',0.247,0.131,0.001,63.856,-0.172
'[14:18:06.010 18/05/1995]',0.247,0.131,0.001,63.856,-0.172
'[14:18:06.012 18/05/1995]',0.226,0.131,0.010,63.856,-0.172
'[14:18:06.014 18/05/1995]',0.206,0.131,0.010,63.856,-0.172
'[14:18:06.016 18/05/1995]',0.206,0.131,0.001,63.706,-0.173
'[14:18:06.018 18/05/1995]',0.226,0.131,0.001,63.706,-0.173
'[14:18:06.020 18/05/1995]',0.247,0.131,0.001,63.706,-0.173
'[14:18:06.022 18/05/1995]',0.247,0.123,0.001,63.706,-0.173
'[14:18:06.024 18/05/1995]',0.267,0.123,0.001,63.506,-0.175
'[14:18:06.026 18/05/1995]',0.267,0.131,0.001,63.506,-0.175
'[14:18:06.028 18/05/1995]',0.267,0.131,0.001,63.506,-0.175
'[14:18:06.030 18/05/1995]',0.267,0.131,0.001,63.506,-0.175
'[14:18:06.032 18/05/1995]',0.267,0.131,0.001,63.355,-0.176
'[14:18:06.034 18/05/1995]',0.287,0.131,0.001,63.355,-0.176
'[14:18:06.036 18/05/1995]',0.287,0.131,0.001,63.355,-0.176
'[14:18:06.038 18/05/1995]',0.287,0.131,0.001,63.355,-0.176
'[14:18:06.040 18/05/1995]',0.287,0.131,0.001,63.205,-0.178
'[14:18:06.042 18/05/1995]',0.287,0.131,0.001,63.205,-0.178
'[14:18:06.044 18/05/1995]',0.287,0.131,0.001,63.205,-0.178
'[14:18:06.046 18/05/1995]',0.287,0.131,0.001,63.205,-0.178
'[14:18:06.048 18/05/1995]',0.287,0.131,0.001,63.155,-0.180
'[14:18:06.050 18/05/1995]',0.307,0.140,0.001,63.155,-0.180
'[14:18:06.052 18/05/1995]',0.307,0.131,0.001,63.155,-0.180
'[14:18:06.054 18/05/1995]',0.307,0.131,0.001,63.155,-0.180
'[14:18:06.056 18/05/1995]',0.327,0.131,-0.009,63.155,-0.183
'[14:18:06.058 18/05/1995]',0.327,0.131,-0.009,63.155,-0.183
'[14:18:06.060 18/05/1995]',0.348,0.131,-0.009,63.155,-0.183
'[14:18:06.062 18/05/1995]',0.327,0.131,0.001,63.155,-0.183
'[14:18:06.064 18/05/1995]',0.327,0.131,0.001,63.305,-0.187
'[14:18:06.066 18/05/1995]',0.348,0.131,0.001,63.305,-0.187
'[14:18:06.068 18/05/1995]',0.348,0.140,0.001,63.305,-0.187
'[14:18:06.070 18/05/1995]',0.348,0.140,0.001,63.305,-0.187
'[14:18:06.072 18/05/1995]',0.348,0.140,0.001,63.656,-0.191
'[14:18:06.074 18/05/1995]',0.348,0.131,-0.009,63.656,-0.191
'[14:18:06.076 18/05/1995]',0.348,0.131,0.001,63.656,-0.191
'[14:18:06.078 18/05/1995]',0.327,0.131,0.001,63.656,-0.191
'[14:18:06.080 18/05/1995]',0.327,0.131,0.001,64.307,-0.195
'[14:18:06.082 18/05/1995]',0.327,0.131,0.001,64.307,-0.195
'[14:18:06.084 18/05/1995]',0.327,0.140,0.001,64.307,-0.195
'[14:18:06.086 18/05/1995]',0.327,0.140,0.001,64.307,-0.195
'[14:18:06.088 18/05/1995]',0.348,0.140,0.001,65.409,-0.200
'[14:18:06.090 18/05/1995]',0.327,0.140,0.001,65.409,-0.200
'[14:18:06.092 18/05/1995]',0.327,0.140,0.001,65.409,-0.200
'[14:18:06.094 18/05/1995]',0.327,0.131,0.001,65.409,-0.200
'[14:18:06.096 18/05/1995]',0.327,0.131,0.001,67.112,-0.204
'[14:18:06.098 18/05/1995]',0.307,0.131,0.001,67.112,-0.204
'[14:18:06.100 18/05/1995]',0.327,0.131,0.001,67.112,-0.204
'[14:18:06.102 18/05/1995]',0.327,0.140,0.001,67.112,-0.204
'[14:18:06.104 18/05/1995]',0.327,0.131,0.001,69.516,-0.209
'[14:18:06.106 18/05/1995]',0.327,0.131,0.001,69.516,-0.209
'[14:18:06.108 18/05/1995]',0.327,0.131,0.001,69.516,-0.209
'[14:18:06.110 18/05/1995]',0.307,0.131,0.001,69.516,-0.209
'[14:18:06.112 18/05/1995]',0.287,0.131,0.001,72.621,-0.213
'[14:18:06.114 18/05/1995]',0.287,0.123,0.001,72.621,-0.213
'[14:18:06.116 18/05/1995]',0.287,0.123,0.001,72.621,-0.213
'[14:18:06.118 18/05/1995]',0.287,0.123,0.001,72.621,-0.213
'[14:18:06.120 18/05/1995]',0.287,0.114,0.001,76.177,-0.217
'[14:18:06.122 18/05/1995]',0.287,0.114,0.001,76.177,-0.217
'[14:18:06.124 18/05/1995]',0.287,0.114,0.001,76.177,-0.217
'[14:18:06.126 18/05/1995]',0.267,0.114,0.001,76.177,-0.217
'[14:18:06.128 18/05/1995]',0.267,0.114,0.010,80.234,-0.222
'[14:18:06.130 18/05/1995]',0.267,0.114,0.010,80.234,-0.222
'[14:18:06.132 18/05/1995]',0.267,0.114,0.001,80.234,-0.222
'[14:18:06.134 18/05/1995]',0.267,0.123,0.001,80.234,-0.222
'[14:18:06.136 18/05/1995]',0.267,0.123,0.001,84.491,-0.226
'[14:18:06.138 18/05/1995]',0.267,0.123,0.001,84.491,-0.226
'[14:18:06.140 18/05/1995]',0.267,0.114,0.001,84.491,-0.226
'[14:18:06.142 18/05/1995]',0.267,0.114,0.001,84.491,-0.226
'[14:18:06.144 18/05/1995]',0.267,0.114,0.001,88.648,-0.229
'[14:18:06.146 18/05/1995]',0.247,0.105,0.010,88.648,-0.229
'[14:18:06.148 18/05/1995]',0.226,0.097,0.001,88.648,-0.229
'[14:18:06.150 18/05/1995]',0.247,0.097,0.001,88.648,-0.229
'[14:18:06.152 18/05/1995]',0.247,0.105,0.001,92.504,-0.232
'[14:18:06.154 18/05/1995]',0.247,0.097,0.001,92.504,-0.232
'[14:18:06.156 18/05/1995]',0.226,0.105,0.001,92.504,-0.232
'[14:18:06.158 18/05/1995]',0.226,0.088,0.001,92.504,-0.232
'[14:18:06.160 18/05/1995]',0.226,0.088,0.001,95.910,-0.234
'[14:18:06.162 18/05/1995]',0.206,0.088,0.001,95.910,-0.234
'[14:18:06.164 18/05/1995]',0.185,0.088,0.001,95.910,-0.234
'[14:18:06.166 18/05/1995]',0.185,0.088,0.001,95.910,-0.234
'[14:18:06.168 18/05/1995]',0.185,0.079,0.001,98.714,-0.237
'[14:18:06.170 18/05/1995]',0.185,0.070,0.001,98.714,-0.237
'[14:18:06.172 18/05/1995]',0.185,0.070,0.001,98.714,-0.237
'[14:18:06.174 18/05/1995]',0.165,0.070,0.001,98.714,-0.237
'[14:18:06.176 18/05/1995]',0.165,0.062,0.001,100.868,-0.240
'[14:18:06.178 18/05/1995]',0.144,0.062,0.001,100.868,-0.240
'[14:18:06.180 18/05/1995]',0.144,0.053,0.001,100.868,-0.240
'[14:18:06.182 18/05/1995]',0.124,0.053,0.001,100.868,-0.240
'[14:18:06.184 18/05/1995]',0.124,0.044,0.001,102.120,-0.243
'[14:18:06.186 18/05/1995]',0.124,0.044,0.001,102.120,-0.243
