'Time and date','II','MCL1','V','ABP','RESP'
'[13:00:40.498 19/05/1995]',0.046,-0.020,-0.033,95.700,-0.619
'[13:00:40.500 19/05/1995]',0.044,-0.020,-0.033,95.700,-0.619
'[13:00:40.502 19/05/1995]',0.043,-0.020,-0.033,95.700,-0.619
'[13:00:40.504 19/05/1995]',0.039,-0.020,-0.041,92.200,-0.616
'[13:00:40.506 19/05/1995]',0.035,-0.020,-0.033,92.200,-0.616
'[13:00:40.508 19/05/1995]',0.030,-0.020,-0.041,92.200,-0.616
'[13:00:40.510 19/05/1995]',0.024,-0.030,-0.041,92.200,-0.616
'[13:00:40.512 19/05/1995]',0.019,-0.030,-0.041,87.900,-0.612
'[13:00:40.514 19/05/1995]',0.014,-0.030,-0.041,87.900,-0.612
'[13:00:40.516 19/05/1995]',0.010,-0.030,-0.041,87.900,-0.612
'[13:00:40.518 19/05/1995]',0.006,-0.030,-0.050,87.900,-0.612
'[13:00:40.520 19/05/1995]',0.005,-0.030,-0.041,83.100,-0.608
'[13:00:40.522 19/05/1995]',0.004,-0.030,-0.041,83.100,-0.608
'[13:00:40.524 19/05/1995]',0.003,-0.040,-0.041,83.100,-0.608
'[13:00:40.526 19/05/1995]',0.002,-0.040,-0.041,83.100,-0.608
'[13:00:40.528 19/05/1995]',0.002,-0.040,-0.050,78.000,-0.604
'[13:00:40.530 19/05/1995]',0.001,-0.050,-0.050,78.000,-0.604
'[13:00:40.532 19/05/1995]',0.000,-0.050,-0.050,78.000,-0.604
'[13:00:40.534 19/05/1995]',-0.001,-0.050,-0.050,78.000,-0.604
'[13:00:40.536 19/05/1995]',-0.004,-0.050,-0.058,72.850,-0.601
'[13:00:40.538 19/05/1995]',-0.006,-0.050,-0.050,72.850,-0.601
'[13:00:40.540 19/05/1995]',-0.008,-0.040,-0.041,72.850,-0.601
'[13:00:40.542 19/05/1995]',-0.009,-0.050,-0.050,72.850,-0.601
'[13:00:40.544 19/05/1995]',-0.010,-0.040,-0.050,68.050,-0.597
'[13:00:40.546 19/05/1995]',-0.011,-0.050,-0.050,68.050,-0.597
'[13:00:40.548 19/05/1995]',-0.013,-0.050,-0.050,68.050,-0.597
'[13:00:40.550 19/05/1995]',-0.014,-0.050,-0.050,68.050,-0.597
'[13:00:40.552 19/05/1995]',-0.015,-0.040,-0.050,63.950,-0.594
'[13:00:40.554 19/05/1995]',-0.016,-0.050,-0.050,63.950,-0.594
'[13:00:40.556 19/05/1995]',-0.016,-0.050,-0.050,63.950,-0.594
'[13:00:40.558 19/05/1995]',-0.016,-0.050,-0.050,63.950,-0.594
'[13:00:40.560 19/05/1995]',-0.016,-0.060,-0.058,60.900,-0.591
'[13:00:40.562 19/05/1995]',-0.016,-0.050,-0.050,60.900,-0.591
'[13:00:40.564 19/05/1995]',-0.015,-0.050,-0.041,60.900,-0.591
'[13:00:40.566 19/05/1995]',-0.014,-0.060,-0.050,60.900,-0.591
'[13:00:40.568 19/05/1995]',-0.013,-0.050,-0.050,59.000,-0.588
'[13:00:40.570 19/05/1995]',-0.011,-0.040,-0.050,59.000,-0.588
'[13:00:40.572 19/05/1995]',-0.010,-0.040,-0.050,59.000,-0.588
'[13:00:40.574 19/05/1995]',-0.009,-0.040,-0.041,59.000,-0.588
'[13:00:40.576 19/05/1995]',-0.009,-0.050,-0.058,58.200,-0.585
'[13:00:40.578 19/05/1995]',-0.009,-0.060,-0.050,58.200,-0.585
'[13:00:40.580 19/05/1995]',-0.009,-0.060,-0.058,58.200,-0.585
'[13:00:40.582 19/05/1995]',-0.010,-0.071,-0.058,58.200,-0.585
'[13:00:40.584 19/05/1995]',-0.010,-0.060,-0.058,58.300,-0.581
'[13:00:40.586 19/05/1995]',-0.011,-0.060,-0.058,58.300,-0.581
'[13:00:40.588 19/05/1995]',-0.011,-0.060,-0.058,58.300,-0.581
'[13:00:40.590 19/05/1995]',-0.011,-0.050,-0.058,58.300,-0.581
'[13:00:40.592 19/05/1995]',-0.011,-0.050,-0.058,58.900,-0.578
'[13:00:40.594 19/05/1995]',-0.011,-0.050,-0.050,58.900,-0.578
'[13:00:40.596 19/05/1995]',-0.011,-0.060,-0.041,58.900,-0.578
'[13:00:40.598 19/05/1995]',-0.011,-0.060,-0.050,58.900,-0.578
'[13:00:40.600 19/05/1995]',-0.010,-0.060,-0.050,59.900,-0.575
'[13:00:40.602 19/05/1995]',-0.010,-0.050,-0.050,59.900,-0.575
'[13:00:40.604 19/05/1995]',-0.009,-0.050,-0.050,59.900,-0.575
'[13:00:40.606 19/05/1995]',-0.008,-0.050,-0.041,59.900,-0.575
'[13:00:40.608 19/05/1995]',-0.007,-0.050,-0.041,61.100,-0.572
'[13:00:40.610 19/05/1995]',-0.006,-0.050,-0.041,61.100,-0.572
'[13:00:40.612 19/05/1995]',-0.005,-0.040,-0.041,61.100,-0.572
'[13:00:40.614 19/05/1995]',-0.005,-0.050,-0.050,61.100,-0.572
'[13:00:40.616 19/05/1995]',-0.005,-0.040,-0.050,62.300,-0.570
'[13:00:40.618 19/05/1995]',-0.006,-0.050,-0.050,62.300,-0.570
'[13:00:40.620 19/05/1995]',-0.006,-0.040,-0.041,62.300,-0.570
'[13:00:40.622 19/05/1995]',-0.007,-0.050,-0.041,62.300,-0.570
'[13:00:40.624 19/05/1995]',-0.006,-0.050,-0.041,63.450,-0.568
'[13:00:40.626 19/05/1995]',-0.006,-0.040,-0.041,63.450,-0.568
'[13:00:40.628 19/05/1995]',-0.004,-0.050,-0.033,63.450,-0.568
'[13:00:40.630 19/05/1995]',-0.003,-0.060,-0.050,63.450,-0.568
'[13:00:40.632 19/05/1995]',-0.000,-0.060,-0.050,64.350,-0.566
'[13:00:40.634 19/05/1995]',0.002,-0.050,-0.041,64.350,-0.566
'[13:00:40.636 19/05/1995]',0.004,-0.030,-0.024,64.350,-0.566
'[13:00:40.638 19/05/1995]',0.006,-0.009,-0.008,64.350,-0.566
'[13:00:40.640 19/05/1995]',0.005,0.001,0.001,65.000,-0.564
'[13:00:40.642 19/05/1995]',0.004,0.011,0.034,65.000,-0.564
'[13:00:40.644 19/05/1995]',-0.004,0.041,0.068,65.000,-0.564
'[13:00:40.646 19/05/1995]',-0.011,0.072,0.101,65.000,-0.564
'[13:00:40.648 19/05/1995]',-0.028,0.113,0.151,65.350,-0.561
'[13:00:40.650 19/05/1995]',-0.044,0.144,0.202,65.350,-0.561
'[13:00:40.652 19/05/1995]',-0.068,0.184,0.243,65.350,-0.561
'[13:00:40.654 19/05/1995]',-0.093,0.195,0.268,65.350,-0.561
'[13:00:40.656 19/05/1995]',-0.124,0.205,0.294,65.400,-0.558
'[13:00:40.658 19/05/1995]',-0.155,0.195,0.310,65.400,-0.558
'[13:00:40.660 19/05/1995]',-0.187,0.184,0.319,65.400,-0.558
'[13:00:40.662 19/05/1995]',-0.219,0.154,0.310,65.400,-0.558
'[13:00:40.664 19/05/1995]',-0.245,0.144,0.319,65.200,-0.555
'[13:00:40.666 19/05/1995]',-0.272,0.134,0.319,65.200,-0.555
'[13:00:40.668 19/05/1995]',-0.292,0.103,0.319,65.200,-0.555
'[13:00:40.670 19/05/1995]',-0.312,0.072,0.277,65.200,-0.555
'[13:00:40.672 19/05/1995]',-0.325,0.021,0.243,64.800,-0.553
'[13:00:40.674 19/05/1995]',-0.339,-0.030,0.176,64.800,-0.553
'[13:00:40.676 19/05/1995]',-0.345,-0.101,0.101,64.800,-0.553
'[13:00:40.678 19/05/1995]',-0.351,-0.173,0.001,64.800,-0.553
'[13:00:40.680 19/05/1995]',-0.348,-0.255,-0.092,64.150,-0.550
'[13:00:40.682 19/05/1995]',-0.345,-0.326,-0.184,64.150,-0.550
'[13:00:40.684 19/05/1995]',-0.334,-0.397,-0.259,64.150,-0.550
'[13:00:40.686 19/05/1995]',-0.323,-0.428,-0.318,64.150,-0.550
'[13:00:40.688 19/05/1995]',-0.305,-0.469,-0.359,63.350,-0.548
'[13:00:40.690 19/05/1995]',-0.286,-0.469,-0.376,63.350,-0.548
'[13:00:40.692 19/05/1995]',-0.262,-0.438,-0.368,63.350,-0.548
'[13:00:40.694 19/05/1995]',-0.238,-0.418,-0.351,63.350,-0.548
'[13:00:40.696 19/05/1995]',-0.211,-0.387,-0.326,62.550,-0.546
'[13:00:40.698 19/05/1995]',-0.184,-0.336,-0.309,62.550,-0.546
'[13:00:40.700 19/05/1995]',-0.158,-0.315,-0.267,62.550,-0.546
'[13:00:40.702 19/05/1995]',-0.132,-0.285,-0.250,62.550,-0.546
'[13:00:40.704 19/05/1995]',-0.108,-0.255,-0.226,61.750,-0.544
'[13:00:40.706 19/05/1995]',-0.084,-0.214,-0.200,61.750,-0.544
'[13:00:40.708 19/05/1995]',-0.063,-0.193,-0.175,61.750,-0.544
'[13:00:40.710 19/05/1995]',-0.042,-0.162,-0.158,61.750,-0.544
'[13:00:40.712 19/05/1995]',-0.026,-0.142,-0.142,60.900,-0.542
'[13:00:40.714 19/05/1995]',-0.009,-0.112,-0.117,60.900,-0.542
'[13:00:40.716 19/05/1995]',0.002,-0.091,-0.100,60.900,-0.542
'[13:00:40.718 19/05/1995]',0.014,-0.071,-0.092,60.900,-0.542
'[13:00:40.720 19/05/1995]',0.020,-0.071,-0.075,60.100,-0.540
'[13:00:40.722 19/05/1995]',0.027,-0.060,-0.075,60.100,-0.540
'[13:00:40.724 19/05/1995]',0.031,-0.060,-0.075,60.100,-0.540
'[13:00:40.726 19/05/1995]',0.035,-0.040,-0.075,60.100,-0.540
'[13:00:40.728 19/05/1995]',0.038,-0.050,-0.075,59.350,-0.539
'[13:00:40.730 19/05/1995]',0.041,-0.030,-0.066,59.350,-0.539
'[13:00:40.732 19/05/1995]',0.043,-0.030,-0.058,59.350,-0.539
'[13:00:40.734 19/05/1995]',0.046,-0.030,-0.058,59.350,-0.539
'[13:00:40.736 19/05/1995]',0.049,-0.030,-0.050,58.550,-0.538
'[13:00:40.738 19/05/1995]',0.053,-0.020,-0.050,58.550,-0.538
'[13:00:40.740 19/05/1995]',0.058,-0.030,-0.058,58.550,-0.538
'[13:00:40.742 19/05/1995]',0.062,-0.020,-0.050,58.550,-0.538
'[13:00:40.744 19/05/1995]',0.066,-0.020,-0.041,57.850,-0.538
'[13:00:40.746 19/05/1995]',0.070,-0.020,-0.033,57.850,-0.538
'[13:00:40.748 19/05/1995]',0.075,0.001,-0.033,57.850,-0.538
'[13:00:40.750 19/05/1995]',0.080,0.001,-0.033,57.850,-0.538
'[13:00:40.752 19/05/1995]',0.085,0.001,-0.024,57.150,-0.537
'[13:00:40.754 19/05/1995]',0.090,0.001,-0.033,57.150,-0.537
'[13:00:40.756 19/05/1995]',0.094,0.001,-0.024,57.150,-0.537
'[13:00:40.758 19/05/1995]',0.098,0.011,-0.033,57.150,-0.537
'[13:00:40.760 19/05/1995]',0.101,0.001,-0.024,56.450,-0.537
'[13:00:40.762 19/05/1995]',0.104,0.011,-0.024,56.450,-0.537
'[13:00:40.764 19/05/1995]',0.105,0.021,-0.024,56.450,-0.537
'[13:00:40.766 19/05/1995]',0.106,0.021,-0.024,56.450,-0.537
'[13:00:40.768 19/05/1995]',0.105,0.021,-0.024,55.750,-0.536
'[13:00:40.770 19/05/1995]',0.104,0.021,-0.016,55.750,-0.536
'[13:00:40.772 19/05/1995]',0.103,0.021,-0.016,55.750,-0.536
'[13:00:40.774 19/05/1995]',0.101,0.031,-0.008,55.750,-0.536
'[13:00:40.776 19/05/1995]',0.099,0.031,-0.008,55.050,-0.535
'[13:00:40.778 19/05/1995]',0.097,0.031,0.001,55.050,-0.535
'[13:00:40.780 19/05/1995]',0.095,0.031,0.001,55.050,-0.535
'[13:00:40.782 19/05/1995]',0.094,0.031,0.001,55.050,-0.535
'[13:00:40.784 19/05/1995]',0.094,0.041,0.001,54.400,-0.533
'[13:00:40.786 19/05/1995]',0.094,0.041,0.001,54.400,-0.533
'[13:00:40.788 19/05/1995]',0.094,0.052,0.001,54.400,-0.533
'[13:00:40.790 19/05/1995]',0.094,0.052,0.001,54.400,-0.533
'[13:00:40.792 19/05/1995]',0.094,0.062,0.009,53.900,-0.531
'[13:00:40.794 19/05/1995]',0.094,0.062,0.017,53.900,-0.531
'[13:00:40.796 19/05/1995]',0.094,0.062,0.026,53.900,-0.531
'[13:00:40.798 19/05/1995]',0.094,0.072,0.034,53.900,-0.531
'[13:00:40.800 19/05/1995]',0.095,0.082,0.034,53.400,-0.527
'[13:00:40.802 19/05/1995]',0.097,0.082,0.042,53.400,-0.527
'[13:00:40.804 19/05/1995]',0.098,0.093,0.051,53.400,-0.527
'[13:00:40.806 19/05/1995]',0.100,0.093,0.059,53.400,-0.527
'[13:00:40.808 19/05/1995]',0.101,0.093,0.068,53.050,-0.523
'[13:00:40.810 19/05/1995]',0.102,0.103,0.076,53.050,-0.523
'[13:00:40.812 19/05/1995]',0.103,0.103,0.076,53.050,-0.523
'[13:00:40.814 19/05/1995]',0.104,0.113,0.076,53.050,-0.523
'[13:00:40.816 19/05/1995]',0.104,0.123,0.093,52.900,-0.518
'[13:00:40.818 19/05/1995]',0.104,0.123,0.093,52.900,-0.518
'[13:00:40.820 19/05/1995]',0.103,0.134,0.101,52.900,-0.518
'[13:00:40.822 19/05/1995]',0.102,0.134,0.101,52.900,-0.518
'[13:00:40.824 19/05/1995]',0.102,0.134,0.101,53.100,-0.512
'[13:00:40.826 19/05/1995]',0.101,0.144,0.110,53.100,-0.512
'[13:00:40.828 19/05/1995]',0.100,0.144,0.110,53.100,-0.512
'[13:00:40.830 19/05/1995]',0.099,0.134,0.118,53.100,-0.512
'[13:00:40.832 19/05/1995]',0.097,0.134,0.118,54.000,-0.506
'[13:00:40.834 19/05/1995]',0.095,0.134,0.118,54.000,-0.506
'[13:00:40.836 19/05/1995]',0.093,0.134,0.118,54.000,-0.506
'[13:00:40.838 19/05/1995]',0.091,0.134,0.118,54.000,-0.506
'[13:00:40.840 19/05/1995]',0.089,0.134,0.110,56.100,-0.500
'[13:00:40.842 19/05/1995]',0.088,0.134,0.118,56.100,-0.500
'[13:00:40.844 19/05/1995]',0.087,0.134,0.118,56.100,-0.500
'[13:00:40.846 19/05/1995]',0.086,0.123,0.118,56.100,-0.500
'[13:00:40.848 19/05/1995]',0.084,0.123,0.110,60.100,-0.493
'[13:00:40.850 19/05/1995]',0.082,0.123,0.101,60.100,-0.493
'[13:00:40.852 19/05/1995]',0.080,0.123,0.101,60.100,-0.493
'[13:00:40.854 19/05/1995]',0.078,0.113,0.101,60.100,-0.493
'[13:00:40.856 19/05/1995]',0.077,0.103,0.101,66.150,-0.485
'[13:00:40.858 19/05/1995]',0.075,0.103,0.084,66.150,-0.485
'[13:00:40.860 19/05/1995]',0.073,0.103,0.076,66.150,-0.485
'[13:00:40.862 19/05/1995]',0.072,0.103,0.076,66.150,-0.485
'[13:00:40.864 19/05/1995]',0.069,0.093,0.076,73.850,-0.476
'[13:00:40.866 19/05/1995]',0.067,0.103,0.076,73.850,-0.476
'[13:00:40.868 19/05/1995]',0.066,0.093,0.076,73.850,-0.476
'[13:00:40.870 19/05/1995]',0.064,0.082,0.068,73.850,-0.476
'[13:00:40.872 19/05/1995]',0.063,0.082,0.059,82.050,-0.468
'[13:00:40.874 19/05/1995]',0.062,0.082,0.059,82.050,-0.468
'[13:00:40.876 19/05/1995]',0.060,0.072,0.059,82.050,-0.468
'[13:00:40.878 19/05/1995]',0.059,0.072,0.059,82.050,-0.468
'[13:00:40.880 19/05/1995]',0.056,0.062,0.051,89.850,-0.459
'[13:00:40.882 19/05/1995]',0.054,0.062,0.042,89.850,-0.459
'[13:00:40.884 19/05/1995]',0.051,0.052,0.042,89.850,-0.459
'[13:00:40.886 19/05/1995]',0.048,0.052,0.034,89.850,-0.459
'[13:00:40.888 19/05/1995]',0.046,0.052,0.034,96.600,-0.449
'[13:00:40.890 19/05/1995]',0.044,0.041,0.026,96.600,-0.449
'[13:00:40.892 19/05/1995]',0.042,0.041,0.026,96.600,-0.449
'[13:00:40.894 19/05/1995]',0.040,0.031,0.017,96.600,-0.449
'[13:00:40.896 19/05/1995]',0.038,0.031,0.017,102.150,-0.438
'[13:00:40.898 19/05/1995]',0.035,0.031,0.017,102.150,-0.438
'[13:00:40.900 19/05/1995]',0.033,0.021,0.009,102.150,-0.438
'[13:00:40.902 19/05/1995]',0.031,0.021,0.001,102.150,-0.438
'[13:00:40.904 19/05/1995]',0.029,0.011,0.001,106.450,-0.426
'[13:00:40.906 19/05/1995]',0.027,0.001,0.001,106.450,-0.426
'[13:00:40.908 19/05/1995]',0.026,0.001,0.001,106.450,-0.426
'[13:00:40.910 19/05/1995]',0.025,0.001,0.001,106.450,-0.426
'[13:00:40.912 19/05/1995]',0.024,0.001,0.001,109.350,-0.414
'[13:00:40.914 19/05/1995]',0.023,0.001,-0.008,109.350,-0.414
'[13:00:40.916 19/05/1995]',0.021,0.001,-0.008,109.350,-0.414
'[13:00:40.918 19/05/1995]',0.020,0.001,-0.008,109.350,-0.414
'[13:00:40.920 19/05/1995]',0.019,0.001,-0.016,110.950,-0.404
'[13:00:40.922 19/05/1995]',0.017,-0.009,-0.016,110.950,-0.404
'[13:00:40.924 19/05/1995]',0.015,-0.009,-0.016,110.950,-0.404
'[13:00:40.926 19/05/1995]',0.014,-0.009,-0.016,110.950,-0.404
'[13:00:40.928 19/05/1995]',0.013,-0.009,-0.024,111.300,-0.394
'[13:00:40.930 19/05/1995]',0.011,-0.020,-0.024,111.300,-0.394
'[13:00:40.932 19/05/1995]',0.011,-0.030,-0.024,111.300,-0.394
'[13:00:40.934 19/05/1995]',0.010,-0.020,-0.024,111.300,-0.394
'[13:00:40.936 19/05/1995]',0.009,-0.030,-0.024,110.600,-0.385
'[13:00:40.938 19/05/1995]',0.008,-0.030,-0.033,110.600,-0.385
'[13:00:40.940 19/05/1995]',0.007,-0.030,-0.033,110.600,-0.385
'[13:00:40.942 19/05/1995]',0.006,-0.030,-0.033,110.600,-0.385
'[13:00:40.944 19/05/1995]',0.006,-0.030,-0.033,109.100,-0.375
'[13:00:40.946 19/05/1995]',0.006,-0.030,-0.033,109.100,-0.375
'[13:00:40.948 19/05/1995]',0.005,-0.030,-0.041,109.100,-0.375
'[13:00:40.950 19/05/1995]',0.004,-0.030,-0.033,109.100,-0.375
'[13:00:40.952 19/05/1995]',0.005,-0.030,-0.041,106.850,-0.365
'[13:00:40.954 19/05/1995]',0.005,-0.030,-0.041,106.850,-0.365
'[13:00:40.956 19/05/1995]',0.005,-0.030,-0.033,106.850,-0.365
'[13:00:40.958 19/05/1995]',0.004,-0.030,-0.041,106.850,-0.365
'[13:00:40.960 19/05/1995]',0.004,-0.030,-0.041,104.150,-0.356
'[13:00:40.962 19/05/1995]',0.003,-0.030,-0.041,104.150,-0.356
'[13:00:40.964 19/05/1995]',0.002,-0.030,-0.041,104.150,-0.356
'[13:00:40.966 19/05/1995]',0.001,-0.030,-0.041,104.150,-0.356
'[13:00:40.968 19/05/1995]',0.001,-0.030,-0.041,101.050,-0.346
'[13:00:40.970 19/05/1995]',0.000,-0.040,-0.041,101.050,-0.346
'[13:00:40.972 19/05/1995]',-0.000,-0.030,-0.041,101.050,-0.346
'[13:00:40.974 19/05/1995]',-0.001,-0.040,-0.050,101.050,-0.346
'[13:00:40.976 19/05/1995]',-0.000,-0.040,-0.041,97.650,-0.337
'[13:00:40.978 19/05/1995]',0.000,-0.040,-0.041,97.650,-0.337
'[13:00:40.980 19/05/1995]',0.000,-0.040,-0.041,97.650,-0.337
'[13:00:40.982 19/05/1995]',0.001,-0.040,-0.041,97.650,-0.337
'[13:00:40.984 19/05/1995]',0.002,-0.040,-0.041,93.950,-0.327
'[13:00:40.986 19/05/1995]',0.003,-0.030,-0.041,93.950,-0.327
'[13:00:40.988 19/05/1995]',0.004,-0.030,-0.033,93.950,-0.327
'[13:00:40.990 19/05/1995]',0.004,-0.030,-0.041,93.950,-0.327
'[13:00:40.992 19/05/1995]',0.005,-0.030,-0.033,89.850,-0.317
'[13:00:40.994 19/05/1995]',0.006,-0.030,-0.033,89.850,-0.317
'[13:00:40.996 19/05/1995]',0.005,-0.040,-0.041,89.850,-0.317
'[13:00:40.998 19/05/1995]',0.005,-0.040,-0.041,89.850,-0.317
'[13:00:41.000 19/05/1995]',0.005,-0.030,-0.033,85.450,-0.305
'[13:00:41.002 19/05/1995]',0.005,-0.040,-0.033,85.450,-0.305
'[13:00:41.004 19/05/1995]',0.005,-0.040,-0.041,85.450,-0.305
'[13:00:41.006 19/05/1995]',0.006,-0.040,-0.033,85.450,-0.305
'[13:00:41.008 19/05/1995]',0.007,-0.030,-0.033,80.900,-0.294
'[13:00:41.010 19/05/1995]',0.008,-0.030,-0.033,80.900,-0.294
'[13:00:41.012 19/05/1995]',0.010,-0.030,-0.033,80.900,-0.294
'[13:00:41.014 19/05/1995]',0.011,-0.030,-0.033,80.900,-0.294
'[13:00:41.016 19/05/1995]',0.014,-0.030,-0.033,76.400,-0.284
'[13:00:41.018 19/05/1995]',0.016,-0.030,-0.033,76.400,-0.284
'[13:00:41.020 19/05/1995]',0.019,-0.030,-0.041,76.400,-0.284
'[13:00:41.022 19/05/1995]',0.022,-0.030,-0.033,76.400,-0.284
'[13:00:41.024 19/05/1995]',0.024,-0.030,-0.033,72.300,-0.274
'[13:00:41.026 19/05/1995]',0.026,-0.030,-0.033,72.300,-0.274
'[13:00:41.028 19/05/1995]',0.028,-0.030,-0.033,72.300,-0.274
'[13:00:41.030 19/05/1995]',0.029,-0.030,-0.041,72.300,-0.274
'[13:00:41.032 19/05/1995]',0.030,-0.030,-0.041,68.950,-0.264
'[13:00:41.034 19/05/1995]',0.030,-0.030,-0.050,68.950,-0.264
'[13:00:41.036 19/05/1995]',0.029,-0.030,-0.041,68.950,-0.264
'[13:00:41.038 19/05/1995]',0.028,-0.030,-0.041,68.950,-0.264
'[13:00:41.040 19/05/1995]',0.025,-0.030,-0.050,66.600,-0.255
'[13:00:41.042 19/05/1995]',0.022,-0.030,-0.041,66.600,-0.255
'[13:00:41.044 19/05/1995]',0.019,-0.030,-0.033,66.600,-0.255
'[13:00:41.046 19/05/1995]',0.016,-0.030,-0.041,66.600,-0.255
'[13:00:41.048 19/05/1995]',0.013,-0.030,-0.041,65.350,-0.245
'[13:00:41.050 19/05/1995]',0.010,-0.030,-0.041,65.350,-0.245
'[13:00:41.052 19/05/1995]',0.008,-0.030,-0.041,65.350,-0.245
'[13:00:41.054 19/05/1995]',0.005,-0.030,-0.041,65.350,-0.245
'[13:00:41.056 19/05/1995]',0.002,-0.030,-0.041,65.050,-0.235
'[13:00:41.058 19/05/1995]',-0.001,-0.040,-0.041,65.050,-0.235
'[13:00:41.060 19/05/1995]',-0.004,-0.030,-0.041,65.050,-0.235
'[13:00:41.062 19/05/1995]',-0.006,-0.040,-0.050,65.050,-0.235
'[13:00:41.064 19/05/1995]',-0.009,-0.040,-0.050,65.500,-0.226
'[13:00:41.066 19/05/1995]',-0.012,-0.050,-0.050,65.500,-0.226
'[13:00:41.068 19/05/1995]',-0.014,-0.050,-0.050,65.500,-0.226
'[13:00:41.070 19/05/1995]',-0.016,-0.040,-0.041,65.500,-0.226
'[13:00:41.072 19/05/1995]',-0.018,-0.040,-0.050,66.300,-0.216
'[13:00:41.074 19/05/1995]',-0.019,-0.040,-0.041,66.300,-0.216
'[13:00:41.076 19/05/1995]',-0.019,-0.040,-0.041,66.300,-0.216
'[13:00:41.078 19/05/1995]',-0.019,-0.040,-0.041,66.300,-0.216
'[13:00:41.080 19/05/1995]',-0.019,-0.040,-0.033,67.300,-0.206
'[13:00:41.082 19/05/1995]',-0.019,-0.040,-0.033,67.300,-0.206
'[13:00:41.084 19/05/1995]',-0.019,-0.040,-0.033,67.300,-0.206
'[13:00:41.086 19/05/1995]',-0.019,-0.040,-0.033,67.300,-0.206
'[13:00:41.088 19/05/1995]',-0.019,-0.050,-0.041,68.300,-0.197
'[13:00:41.090 19/05/1995]',-0.019,-0.030,-0.033,68.300,-0.197
'[13:00:41.092 19/05/1995]',-0.019,-0.030,-0.033,68.300,-0.197
'[13:00:41.094 19/05/1995]',-0.019,-0.030,-0.033,68.300,-0.197
'[13:00:41.096 19/05/1995]',-0.018,-0.030,-0.033,69.150,-0.186
'[13:00:41.098 19/05/1995]',-0.018,-0.030,-0.024,69.150,-0.186
'[13:00:41.100 19/05/1995]',-0.017,-0.030,-0.033,69.150,-0.186
'[13:00:41.102 19/05/1995]',-0.016,-0.030,-0.024,69.150,-0.186
'[13:00:41.104 19/05/1995]',-0.016,-0.030,-0.024,69.950,-0.176
'[13:00:41.106 19/05/1995]',-0.016,-0.030,-0.024,69.950,-0.176
'[13:00:41.108 19/05/1995]',-0.015,-0.030,-0.024,69.950,-0.176
'[13:00:41.110 19/05/1995]',-0.015,-0.030,-0.024,69.950,-0.176
'[13:00:41.112 19/05/1995]',-0.014,-0.030,-0.024,70.450,-0.167
'[13:00:41.114 19/05/1995]',-0.014,-0.030,-0.024,70.450,-0.167
'[13:00:41.116 19/05/1995]',-0.013,-0.030,-0.024,70.450,-0.167
'[13:00:41.118 19/05/1995]',-0.013,-0.030,-0.024,70.450,-0.167
'[13:00:41.120 19/05/1995]',-0.013,-0.030,-0.024,70.750,-0.158
'[13:00:41.122 19/05/1995]',-0.013,-0.030,-0.024,70.750,-0.158
'[13:00:41.124 19/05/1995]',-0.012,-0.030,-0.024,70.750,-0.158
'[13:00:41.126 19/05/1995]',-0.011,-0.030,-0.024,70.750,-0.158
'[13:00:41.128 19/05/1995]',-0.011,-0.030,-0.024,70.700,-0.149
'[13:00:41.130 19/05/1995]',-0.010,-0.030,-0.033,70.700,-0.149
'[13:00:41.132 19/05/1995]',-0.009,-0.030,-0.033,70.700,-0.149
'[13:00:41.134 19/05/1995]',-0.008,-0.030,-0.024,70.700,-0.149
'[13:00:41.136 19/05/1995]',-0.008,-0.030,-0.024,70.400,-0.141
'[13:00:41.138 19/05/1995]',-0.007,-0.030,-0.033,70.400,-0.141
'[13:00:41.140 19/05/1995]',-0.006,-0.020,-0.024,70.400,-0.141
'[13:00:41.142 19/05/1995]',-0.006,-0.030,-0.024,70.400,-0.141
'[13:00:41.144 19/05/1995]',-0.005,-0.020,-0.024,69.900,-0.132
'[13:00:41.146 19/05/1995]',-0.004,-0.020,-0.024,69.900,-0.132
'[13:00:41.148 19/05/1995]',-0.001,-0.020,-0.024,69.900,-0.132
'[13:00:41.150 19/05/1995]',0.001,-0.009,-0.016,69.900,-0.132
'[13:00:41.152 19/05/1995]',0.004,-0.009,-0.016,69.100,-0.123
'[13:00:41.154 19/05/1995]',0.006,-0.009,-0.016,69.100,-0.123
'[13:00:41.156 19/05/1995]',0.008,-0.009,-0.016,69.100,-0.123
'[13:00:41.158 19/05/1995]',0.010,0.001,-0.008,69.100,-0.123
'[13:00:41.160 19/05/1995]',0.010,0.001,0.001,68.250,-0.114
'[13:00:41.162 19/05/1995]',0.009,0.021,0.001,68.250,-0.114
'[13:00:41.164 19/05/1995]',0.005,0.041,0.042,68.250,-0.114
'[13:00:41.166 19/05/1995]',0.000,0.072,0.076,68.250,-0.114
'[13:00:41.168 19/05/1995]',-0.012,0.093,0.101,67.350,-0.104
'[13:00:41.170 19/05/1995]',-0.024,0.113,0.143,67.350,-0.104
'[13:00:41.172 19/05/1995]',-0.043,0.154,0.193,67.350,-0.104
'[13:00:41.174 19/05/1995]',-0.063,0.174,0.235,67.350,-0.104
'[13:00:41.176 19/05/1995]',-0.090,0.195,0.252,66.400,-0.095
'[13:00:41.178 19/05/1995]',-0.117,0.195,0.285,66.400,-0.095
'[13:00:41.180 19/05/1995]',-0.148,0.195,0.310,66.400,-0.095
