'Time and date','MCL1 ','II ','V ','ABP ','PLETH '
'[11:00:30.996 11/05/1995]',0.245,0.025,0.180,180.400,-0.426
'[11:00:30.998 11/05/1995]',0.245,0.074,0.168,180.400,-0.426
'[11:00:31.000 11/05/1995]',0.257,0.123,0.168,180.400,-0.429
'[11:00:31.002 11/05/1995]',0.257,0.147,0.180,180.400,-0.429
'[11:00:31.004 11/05/1995]',0.245,0.220,0.168,180.400,-0.429
'[11:00:31.006 11/05/1995]',0.220,0.293,0.135,180.400,-0.429
'[11:00:31.008 11/05/1995]',0.188,0.342,0.079,180.400,-0.433
'[11:00:31.010 11/05/1995]',0.170,0.342,0.045,180.400,-0.433
'[11:00:31.012 11/05/1995]',0.188,0.269,0.034,180.400,-0.433
'[11:00:31.014 11/05/1995]',0.195,0.123,0.068,180.400,-0.433
'[11:00:31.016 11/05/1995]',0.207,0.002,0.102,180.400,-0.437
'[11:00:31.018 11/05/1995]',0.213,-0.217,0.158,180.400,-0.437
'[11:00:31.020 11/05/1995]',0.213,-0.362,0.213,180.400,-0.437
'[11:00:31.022 11/05/1995]',0.213,-0.483,0.247,180.400,-0.437
'[11:00:31.024 11/05/1995]',0.213,-0.581,0.258,180.400,-0.441
'[11:00:31.026 11/05/1995]',0.195,-0.605,0.236,180.400,-0.441
'[11:00:31.028 11/05/1995]',0.163,-0.629,0.202,180.400,-0.441
'[11:00:31.030 11/05/1995]',0.126,-0.654,0.168,180.400,-0.441
'[11:00:31.032 11/05/1995]',0.101,-0.629,0.146,180.400,-0.444
'[11:00:31.034 11/05/1995]',0.076,-0.605,0.135,180.400,-0.444
'[11:00:31.036 11/05/1995]',0.057,-0.556,0.135,180.400,-0.444
'[11:00:31.038 11/05/1995]',0.051,-0.508,0.135,180.400,-0.444
'[11:00:31.040 11/05/1995]',0.032,-0.435,0.102,180.400,-0.447
'[11:00:31.042 11/05/1995]',0.013,-0.362,0.068,180.400,-0.447
'[11:00:31.044 11/05/1995]',0.001,-0.265,0.023,180.400,-0.447
'[11:00:31.046 11/05/1995]',-0.025,-0.168,-0.010,180.400,-0.447
'[11:00:31.048 11/05/1995]',-0.031,-0.095,-0.033,180.400,-0.448
'[11:00:31.050 11/05/1995]',-0.037,-0.071,-0.033,180.400,-0.448
'[11:00:31.052 11/05/1995]',-0.031,-0.046,-0.010,180.400,-0.448
'[11:00:31.054 11/05/1995]',-0.025,-0.046,0.001,180.400,-0.448
'[11:00:31.056 11/05/1995]',-0.025,-0.022,0.001,180.400,-0.450
'[11:00:31.058 11/05/1995]',-0.025,-0.022,0.001,180.400,-0.450
'[11:00:31.060 11/05/1995]',-0.025,0.002,-0.010,180.400,-0.450
'[11:00:31.062 11/05/1995]',-0.031,0.002,-0.033,180.400,-0.450
'[11:00:31.064 11/05/1995]',-0.025,0.002,-0.044,180.400,-0.453
'[11:00:31.066 11/05/1995]',-0.025,0.002,-0.033,180.400,-0.453
'[11:00:31.068 11/05/1995]',-0.025,0.002,-0.010,180.400,-0.453
'[11:00:31.070 11/05/1995]',-0.012,-0.022,0.001,180.400,-0.453
'[11:00:31.072 11/05/1995]',-0.025,-0.022,0.012,180.400,-0.455
'[11:00:31.074 11/05/1995]',-0.012,0.002,0.001,180.400,-0.455
'[11:00:31.076 11/05/1995]',-0.025,0.002,-0.010,180.400,-0.455
'[11:00:31.078 11/05/1995]',-0.031,0.002,-0.033,180.400,-0.455
'[11:00:31.080 11/05/1995]',-0.025,0.002,-0.033,180.400,-0.455
'[11:00:31.082 11/05/1995]',-0.025,0.002,-0.044,180.400,-0.455
'[11:00:31.084 11/05/1995]',-0.025,0.002,-0.021,180.400,-0.455
'[11:00:31.086 11/05/1995]',-0.012,0.002,0.001,180.400,-0.455
'[11:00:31.088 11/05/1995]',-0.012,0.002,0.001,180.400,-0.457
'[11:00:31.090 11/05/1995]',-0.012,0.002,0.001,180.400,-0.457
'[11:00:31.092 11/05/1995]',-0.012,0.002,0.001,180.400,-0.457
'[11:00:31.094 11/05/1995]',-0.025,0.025,-0.033,180.400,-0.457
'[11:00:31.096 11/05/1995]',-0.025,0.025,-0.044,180.400,-0.458
'[11:00:31.098 11/05/1995]',-0.025,0.025,-0.044,180.400,-0.458
'[11:00:31.100 11/05/1995]',-0.025,0.025,-0.033,180.400,-0.458
'[11:00:31.102 11/05/1995]',-0.025,0.025,-0.021,180.400,-0.458
'[11:00:31.104 11/05/1995]',-0.012,0.002,0.001,180.400,-0.459
'[11:00:31.106 11/05/1995]',-0.012,0.002,0.001,180.400,-0.459
'[11:00:31.108 11/05/1995]',-0.025,0.025,-0.010,180.400,-0.459
'[11:00:31.110 11/05/1995]',-0.025,0.025,-0.033,180.400,-0.459
'[11:00:31.112 11/05/1995]',-0.025,0.050,-0.055,180.400,-0.459
'[11:00:31.114 11/05/1995]',-0.031,0.050,-0.055,180.400,-0.459
'[11:00:31.116 11/05/1995]',-0.025,0.050,-0.044,180.400,-0.459
'[11:00:31.118 11/05/1995]',-0.025,0.025,-0.033,180.400,-0.459
'[11:00:31.120 11/05/1995]',-0.012,0.025,0.001,180.400,-0.459
'[11:00:31.122 11/05/1995]',-0.012,0.025,0.001,180.400,-0.459
'[11:00:31.124 11/05/1995]',-0.012,0.025,0.001,180.400,-0.459
'[11:00:31.126 11/05/1995]',-0.025,0.025,-0.021,180.400,-0.459
'[11:00:31.128 11/05/1995]',-0.012,0.050,-0.033,180.400,-0.459
'[11:00:31.130 11/05/1995]',-0.025,0.050,-0.055,180.400,-0.459
'[11:00:31.132 11/05/1995]',-0.025,0.050,-0.055,180.400,-0.459
'[11:00:31.134 11/05/1995]',-0.025,0.050,-0.033,180.400,-0.459
'[11:00:31.136 11/05/1995]',-0.012,0.025,-0.010,180.400,-0.459
'[11:00:31.138 11/05/1995]',-0.012,0.025,0.001,180.400,-0.459
'[11:00:31.140 11/05/1995]',-0.025,0.025,0.001,180.400,-0.459
'[11:00:31.142 11/05/1995]',-0.025,0.025,-0.021,180.400,-0.459
'[11:00:31.144 11/05/1995]',-0.031,0.050,-0.033,180.400,-0.457
'[11:00:31.146 11/05/1995]',-0.025,0.050,-0.055,180.400,-0.457
'[11:00:31.148 11/05/1995]',-0.025,0.050,-0.055,180.400,-0.457
'[11:00:31.150 11/05/1995]',-0.025,0.050,-0.033,180.400,-0.457
'[11:00:31.152 11/05/1995]',-0.025,0.025,-0.021,180.400,-0.456
'[11:00:31.154 11/05/1995]',-0.012,0.025,0.001,180.400,-0.456
'[11:00:31.156 11/05/1995]',-0.012,0.025,0.001,180.400,-0.456
'[11:00:31.158 11/05/1995]',-0.012,0.025,0.001,180.400,-0.456
'[11:00:31.160 11/05/1995]',-0.012,0.050,-0.021,180.400,-0.455
'[11:00:31.162 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.455
'[11:00:31.164 11/05/1995]',-0.025,0.074,-0.055,180.400,-0.455
'[11:00:31.166 11/05/1995]',-0.025,0.050,-0.044,180.400,-0.455
'[11:00:31.168 11/05/1995]',-0.025,0.050,-0.033,180.400,-0.453
'[11:00:31.170 11/05/1995]',-0.025,0.025,0.001,180.400,-0.453
'[11:00:31.172 11/05/1995]',-0.012,0.025,0.001,180.400,-0.453
'[11:00:31.174 11/05/1995]',-0.012,0.025,0.001,180.400,-0.453
'[11:00:31.176 11/05/1995]',-0.025,0.050,-0.021,180.400,-0.452
'[11:00:31.178 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.452
'[11:00:31.180 11/05/1995]',-0.025,0.074,-0.055,180.400,-0.452
'[11:00:31.182 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.452
'[11:00:31.184 11/05/1995]',-0.012,0.050,-0.033,180.400,-0.450
'[11:00:31.186 11/05/1995]',-0.025,0.050,0.001,180.400,-0.450
'[11:00:31.188 11/05/1995]',-0.012,0.025,0.001,180.400,-0.450
'[11:00:31.190 11/05/1995]',-0.012,0.025,0.001,180.400,-0.450
'[11:00:31.192 11/05/1995]',-0.012,0.050,-0.010,180.400,-0.449
'[11:00:31.194 11/05/1995]',-0.012,0.074,-0.033,180.400,-0.449
'[11:00:31.196 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.449
'[11:00:31.198 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.449
'[11:00:31.200 11/05/1995]',-0.012,0.050,-0.033,180.400,-0.447
'[11:00:31.202 11/05/1995]',-0.012,0.050,-0.010,180.400,-0.447
'[11:00:31.204 11/05/1995]',-0.006,0.025,0.001,180.400,-0.447
'[11:00:31.206 11/05/1995]',-0.012,0.025,0.001,180.400,-0.447
'[11:00:31.208 11/05/1995]',-0.006,0.050,0.001,180.400,-0.447
'[11:00:31.210 11/05/1995]',-0.012,0.050,-0.021,180.400,-0.447
'[11:00:31.212 11/05/1995]',-0.012,0.074,-0.033,180.400,-0.447
'[11:00:31.214 11/05/1995]',-0.012,0.074,-0.044,180.400,-0.447
'[11:00:31.216 11/05/1995]',-0.012,0.074,-0.033,180.400,-0.444
'[11:00:31.218 11/05/1995]',-0.006,0.050,-0.010,180.400,-0.444
'[11:00:31.220 11/05/1995]',-0.006,0.025,0.001,180.400,-0.444
'[11:00:31.222 11/05/1995]',0.001,0.025,0.012,180.400,-0.444
'[11:00:31.224 11/05/1995]',0.001,0.025,0.001,180.400,-0.443
'[11:00:31.226 11/05/1995]',0.001,0.050,0.001,180.400,-0.443
'[11:00:31.228 11/05/1995]',0.001,0.074,-0.021,180.400,-0.443
'[11:00:31.230 11/05/1995]',0.001,0.074,-0.033,180.400,-0.443
'[11:00:31.232 11/05/1995]',0.001,0.074,-0.021,180.400,-0.442
'[11:00:31.234 11/05/1995]',0.007,0.050,0.001,180.400,-0.442
'[11:00:31.236 11/05/1995]',0.007,0.025,0.012,180.400,-0.442
'[11:00:31.238 11/05/1995]',0.007,0.025,0.034,180.400,-0.442
'[11:00:31.240 11/05/1995]',0.013,0.025,0.034,180.400,-0.440
'[11:00:31.242 11/05/1995]',0.013,0.025,0.012,180.400,-0.440
'[11:00:31.244 11/05/1995]',0.007,0.050,0.001,180.400,-0.440
'[11:00:31.246 11/05/1995]',0.007,0.050,-0.010,180.400,-0.440
'[11:00:31.248 11/05/1995]',0.007,0.050,0.001,180.400,-0.436
'[11:00:31.250 11/05/1995]',0.013,0.025,0.001,180.400,-0.436
'[11:00:31.252 11/05/1995]',0.025,0.025,0.023,180.400,-0.436
'[11:00:31.254 11/05/1995]',0.025,0.002,0.045,180.400,-0.436
'[11:00:31.256 11/05/1995]',0.025,0.002,0.057,180.400,-0.433
'[11:00:31.258 11/05/1995]',0.025,0.002,0.034,180.400,-0.433
'[11:00:31.260 11/05/1995]',0.032,0.025,0.023,180.400,-0.433
'[11:00:31.262 11/05/1995]',0.025,0.025,0.001,180.400,-0.433
'[11:00:31.264 11/05/1995]',0.032,0.025,0.001,180.400,-0.427
'[11:00:31.266 11/05/1995]',0.032,0.025,0.023,180.400,-0.427
'[11:00:31.268 11/05/1995]',0.038,0.002,0.034,180.400,-0.427
'[11:00:31.270 11/05/1995]',0.038,0.002,0.068,180.400,-0.427
'[11:00:31.272 11/05/1995]',0.051,0.002,0.068,180.400,-0.418
'[11:00:31.274 11/05/1995]',0.038,0.002,0.068,180.400,-0.418
'[11:00:31.276 11/05/1995]',0.051,0.002,0.057,180.400,-0.418
'[11:00:31.278 11/05/1995]',0.051,0.002,0.034,180.400,-0.418
'[11:00:31.280 11/05/1995]',0.038,0.002,0.023,180.400,-0.406
'[11:00:31.282 11/05/1995]',0.038,0.002,0.034,180.400,-0.406
'[11:00:31.284 11/05/1995]',0.051,0.002,0.045,180.400,-0.406
'[11:00:31.286 11/05/1995]',0.051,0.002,0.068,180.400,-0.406
'[11:00:31.288 11/05/1995]',0.057,-0.022,0.079,180.400,-0.389
'[11:00:31.290 11/05/1995]',0.051,-0.022,0.079,180.400,-0.389
'[11:00:31.292 11/05/1995]',0.051,0.002,0.068,180.400,-0.389
'[11:00:31.294 11/05/1995]',0.038,0.002,0.045,180.400,-0.389
'[11:00:31.296 11/05/1995]',0.038,0.002,0.023,180.400,-0.365
'[11:00:31.298 11/05/1995]',0.038,0.002,0.012,180.400,-0.365
'[11:00:31.300 11/05/1995]',0.032,0.002,0.034,180.400,-0.365
'[11:00:31.302 11/05/1995]',0.032,0.002,0.057,180.400,-0.365
'[11:00:31.304 11/05/1995]',0.038,-0.022,0.068,180.400,-0.336
'[11:00:31.306 11/05/1995]',0.038,-0.022,0.068,180.400,-0.336
'[11:00:31.308 11/05/1995]',0.032,0.002,0.057,180.400,-0.336
'[11:00:31.310 11/05/1995]',0.032,0.002,0.034,180.400,-0.336
'[11:00:31.312 11/05/1995]',0.025,0.002,0.012,180.400,-0.299
'[11:00:31.314 11/05/1995]',0.025,0.002,0.001,180.400,-0.299
'[11:00:31.316 11/05/1995]',0.025,0.002,0.001,180.400,-0.299
'[11:00:31.318 11/05/1995]',0.025,0.002,0.023,180.400,-0.299
'[11:00:31.320 11/05/1995]',0.013,0.002,0.034,180.400,-0.257
'[11:00:31.322 11/05/1995]',0.013,0.002,0.045,180.400,-0.257
'[11:00:31.324 11/05/1995]',0.013,0.002,0.034,180.400,-0.257
'[11:00:31.326 11/05/1995]',0.007,0.002,0.012,180.400,-0.257
'[11:00:31.328 11/05/1995]',0.007,0.002,0.001,180.400,-0.206
'[11:00:31.330 11/05/1995]',0.007,0.002,-0.010,180.400,-0.206
'[11:00:31.332 11/05/1995]',0.001,0.002,-0.010,180.400,-0.206
'[11:00:31.334 11/05/1995]',0.001,0.002,0.001,180.400,-0.206
'[11:00:31.336 11/05/1995]',0.001,0.002,0.012,180.400,-0.151
'[11:00:31.338 11/05/1995]',0.007,0.002,0.023,180.400,-0.151
'[11:00:31.340 11/05/1995]',0.001,0.002,0.023,180.400,-0.151
'[11:00:31.342 11/05/1995]',0.001,0.002,0.001,180.400,-0.151
'[11:00:31.344 11/05/1995]',-0.006,0.002,-0.010,180.400,-0.091
'[11:00:31.346 11/05/1995]',-0.006,0.025,-0.021,180.400,-0.091
'[11:00:31.348 11/05/1995]',-0.006,0.025,-0.033,180.400,-0.091
'[11:00:31.350 11/05/1995]',-0.006,0.002,-0.010,180.400,-0.091
'[11:00:31.352 11/05/1995]',0.001,0.002,0.001,180.400,-0.029
'[11:00:31.354 11/05/1995]',0.001,0.002,0.012,180.400,-0.029
'[11:00:31.356 11/05/1995]',-0.006,0.002,0.012,180.400,-0.029
'[11:00:31.358 11/05/1995]',-0.012,0.002,0.001,180.400,-0.029
'[11:00:31.360 11/05/1995]',-0.012,0.002,-0.010,180.400,0.033
'[11:00:31.362 11/05/1995]',-0.025,0.025,-0.033,180.400,0.033
'[11:00:31.364 11/05/1995]',-0.025,0.025,-0.033,180.400,0.033
'[11:00:31.366 11/05/1995]',-0.025,0.002,-0.033,180.400,0.033
'[11:00:31.368 11/05/1995]',-0.012,0.002,-0.010,180.400,0.097
'[11:00:31.370 11/05/1995]',-0.012,0.002,0.001,180.400,0.097
'[11:00:31.372 11/05/1995]',-0.006,0.002,0.001,180.400,0.097
'[11:00:31.374 11/05/1995]',-0.012,0.002,0.001,180.400,0.097
'[11:00:31.376 11/05/1995]',-0.012,0.002,0.001,180.400,0.157
'[11:00:31.378 11/05/1995]',-0.012,0.025,-0.033,180.400,0.157
'[11:00:31.380 11/05/1995]',-0.012,0.025,-0.033,180.400,0.157
'[11:00:31.382 11/05/1995]',-0.012,0.025,-0.033,180.400,0.157
'[11:00:31.384 11/05/1995]',-0.012,0.002,-0.021,180.400,0.213
'[11:00:31.386 11/05/1995]',-0.006,0.002,0.001,180.400,0.213
'[11:00:31.388 11/05/1995]',-0.012,0.002,0.001,180.400,0.213
'[11:00:31.390 11/05/1995]',-0.012,0.002,0.001,180.400,0.213
'[11:00:31.392 11/05/1995]',-0.012,0.002,0.001,180.400,0.265
'[11:00:31.394 11/05/1995]',-0.025,0.002,-0.021,180.400,0.265
'[11:00:31.396 11/05/1995]',-0.025,0.025,-0.033,180.400,0.265
'[11:00:31.398 11/05/1995]',-0.025,0.002,-0.044,180.400,0.265
'[11:00:31.400 11/05/1995]',-0.012,0.002,-0.033,180.400,0.309
'[11:00:31.402 11/05/1995]',-0.012,0.002,0.001,180.400,0.309
'[11:00:31.404 11/05/1995]',-0.012,0.002,0.001,180.400,0.309
'[11:00:31.406 11/05/1995]',-0.012,0.002,0.001,180.400,0.309
'[11:00:31.408 11/05/1995]',-0.012,0.002,0.001,180.400,0.347
'[11:00:31.410 11/05/1995]',-0.012,0.002,-0.021,180.400,0.347
'[11:00:31.412 11/05/1995]',-0.012,0.002,-0.033,180.400,0.347
'[11:00:31.414 11/05/1995]',-0.012,0.025,-0.033,180.400,0.347
'[11:00:31.416 11/05/1995]',-0.025,0.002,-0.033,180.400,0.380
'[11:00:31.418 11/05/1995]',-0.012,0.002,-0.021,180.400,0.380
'[11:00:31.420 11/05/1995]',-0.012,0.002,0.001,180.400,0.380
'[11:00:31.422 11/05/1995]',-0.012,0.002,0.012,180.400,0.380
'[11:00:31.424 11/05/1995]',-0.012,0.002,0.001,180.400,0.404
'[11:00:31.426 11/05/1995]',-0.012,0.002,0.001,180.400,0.404
'[11:00:31.428 11/05/1995]',-0.025,0.002,-0.033,180.400,0.404
'[11:00:31.430 11/05/1995]',-0.025,0.002,-0.044,180.400,0.404
'[11:00:31.432 11/05/1995]',-0.025,0.002,-0.033,180.400,0.423
'[11:00:31.434 11/05/1995]',-0.025,0.002,-0.033,180.400,0.423
'[11:00:31.436 11/05/1995]',-0.012,0.002,0.001,180.400,0.423
'[11:00:31.438 11/05/1995]',-0.012,0.002,0.001,180.400,0.423
'[11:00:31.440 11/05/1995]',-0.012,0.002,0.001,180.400,0.432
'[11:00:31.442 11/05/1995]',-0.006,0.002,0.001,180.400,0.432
'[11:00:31.444 11/05/1995]',-0.012,0.025,-0.033,180.400,0.432
'[11:00:31.446 11/05/1995]',-0.025,0.025,-0.033,180.400,0.432
'[11:00:31.448 11/05/1995]',-0.025,0.025,-0.044,180.400,0.438
'[11:00:31.450 11/05/1995]',-0.025,0.002,-0.033,180.400,0.438
'[11:00:31.452 11/05/1995]',-0.012,0.002,-0.010,180.400,0.438
'[11:00:31.454 11/05/1995]',-0.012,0.002,0.001,180.400,0.438
'[11:00:31.456 11/05/1995]',-0.012,0.002,0.001,180.400,0.436
'[11:00:31.458 11/05/1995]',-0.012,0.002,0.001,180.400,0.436
'[11:00:31.460 11/05/1995]',-0.025,0.002,-0.021,180.400,0.436
'[11:00:31.462 11/05/1995]',-0.025,0.025,-0.033,180.400,0.436
'[11:00:31.464 11/05/1995]',-0.025,0.025,-0.044,180.400,0.430
'[11:00:31.466 11/05/1995]',-0.025,0.002,-0.033,180.400,0.430
'[11:00:31.468 11/05/1995]',-0.025,0.002,-0.021,180.400,0.430
'[11:00:31.470 11/05/1995]',-0.012,0.002,0.001,180.400,0.430
'[11:00:31.472 11/05/1995]',-0.025,0.002,0.001,180.400,0.417
'[11:00:31.474 11/05/1995]',-0.025,0.002,0.001,180.400,0.417
'[11:00:31.476 11/05/1995]',-0.025,0.002,-0.021,180.400,0.417
'[11:00:31.478 11/05/1995]',-0.025,0.025,-0.033,180.400,0.417
'[11:00:31.480 11/05/1995]',-0.025,0.025,-0.044,180.400,0.402
'[11:00:31.482 11/05/1995]',-0.025,0.025,-0.033,180.400,0.402
'[11:00:31.484 11/05/1995]',-0.025,0.002,-0.033,180.400,0.402
'[11:00:31.486 11/05/1995]',-0.025,0.002,0.001,180.400,0.402
'[11:00:31.488 11/05/1995]',-0.012,0.002,0.001,180.400,0.382
'[11:00:31.490 11/05/1995]',-0.025,0.002,0.001,180.400,0.382
'[11:00:31.492 11/05/1995]',-0.025,0.002,-0.010,180.400,0.382
'[11:00:31.494 11/05/1995]',-0.025,0.002,-0.033,180.400,0.382
'[11:00:31.496 11/05/1995]',-0.025,0.025,-0.044,180.400,0.357
'[11:00:31.498 11/05/1995]',-0.025,0.002,-0.033,180.400,0.357
'[11:00:31.500 11/05/1995]',-0.031,0.002,-0.033,180.400,0.357
'[11:00:31.502 11/05/1995]',-0.025,0.002,0.001,180.400,0.357
'[11:00:31.504 11/05/1995]',-0.012,0.002,0.001,180.400,0.330
'[11:00:31.506 11/05/1995]',-0.012,0.002,0.001,180.400,0.330
'[11:00:31.508 11/05/1995]',-0.012,0.002,0.001,180.400,0.330
'[11:00:31.510 11/05/1995]',-0.025,0.002,-0.021,180.400,0.330
'[11:00:31.512 11/05/1995]',-0.025,0.002,-0.033,180.400,0.297
'[11:00:31.514 11/05/1995]',-0.031,0.025,-0.044,180.400,0.297
'[11:00:31.516 11/05/1995]',-0.025,0.002,-0.033,180.400,0.297
'[11:00:31.518 11/05/1995]',-0.012,0.002,-0.010,180.400,0.297
'[11:00:31.520 11/05/1995]',-0.012,0.002,0.001,180.400,0.265
'[11:00:31.522 11/05/1995]',-0.012,0.002,0.001,180.400,0.265
'[11:00:31.524 11/05/1995]',-0.012,0.002,0.001,180.400,0.265
'[11:00:31.526 11/05/1995]',-0.025,0.002,-0.010,180.400,0.265
'[11:00:31.528 11/05/1995]',-0.025,0.002,-0.033,180.400,0.231
'[11:00:31.530 11/05/1995]',-0.025,0.002,-0.033,180.400,0.231
'[11:00:31.532 11/05/1995]',-0.012,0.002,-0.033,180.400,0.231
'[11:00:31.534 11/05/1995]',-0.012,0.002,-0.021,180.400,0.231
'[11:00:31.536 11/05/1995]',-0.012,0.002,0.001,180.400,0.196
'[11:00:31.538 11/05/1995]',-0.012,0.002,0.001,180.400,0.196
'[11:00:31.540 11/05/1995]',-0.012,0.002,0.001,180.400,0.196
'[11:00:31.542 11/05/1995]',-0.012,0.002,0.001,180.400,0.196
'[11:00:31.544 11/05/1995]',-0.012,0.002,-0.021,180.400,0.161
'[11:00:31.546 11/05/1995]',-0.012,0.002,-0.033,180.400,0.161
'[11:00:31.548 11/05/1995]',-0.025,0.002,-0.033,180.400,0.161
'[11:00:31.550 11/05/1995]',-0.025,0.002,-0.021,180.400,0.161
'[11:00:31.552 11/05/1995]',-0.012,0.002,-0.010,180.400,0.124
'[11:00:31.554 11/05/1995]',-0.006,0.002,0.012,180.400,0.124
'[11:00:31.556 11/05/1995]',-0.012,0.002,0.012,180.400,0.124
'[11:00:31.558 11/05/1995]',-0.012,0.002,0.001,180.400,0.124
'[11:00:31.560 11/05/1995]',-0.006,0.002,-0.010,180.400,0.087
'[11:00:31.562 11/05/1995]',-0.012,0.002,-0.033,180.400,0.087
'[11:00:31.564 11/05/1995]',-0.012,0.002,-0.033,180.400,0.087
'[11:00:31.566 11/05/1995]',-0.012,0.002,-0.033,180.400,0.087
'[11:00:31.568 11/05/1995]',-0.012,0.002,-0.010,180.400,0.053
'[11:00:31.570 11/05/1995]',-0.006,0.002,0.001,180.400,0.053
'[11:00:31.572 11/05/1995]',-0.006,0.002,0.012,180.400,0.053
'[11:00:31.574 11/05/1995]',-0.012,0.002,0.001,180.400,0.053
'[11:00:31.576 11/05/1995]',-0.012,0.002,0.001,180.400,0.019
'[11:00:31.578 11/05/1995]',-0.012,0.002,-0.021,180.400,0.019
'[11:00:31.580 11/05/1995]',-0.012,0.002,-0.033,180.400,0.019
'[11:00:31.582 11/05/1995]',-0.012,0.002,-0.033,180.400,0.019
'[11:00:31.584 11/05/1995]',-0.012,0.002,-0.010,180.400,-0.014
'[11:00:31.586 11/05/1995]',-0.012,0.002,0.001,180.400,-0.014
'[11:00:31.588 11/05/1995]',0.001,0.002,0.012,180.400,-0.014
'[11:00:31.590 11/05/1995]',-0.006,0.002,0.012,180.400,-0.014
'[11:00:31.592 11/05/1995]',-0.006,0.002,0.001,180.400,-0.046
'[11:00:31.594 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.046
'[11:00:31.596 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.046
'[11:00:31.598 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.046
'[11:00:31.600 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.076
'[11:00:31.602 11/05/1995]',0.001,0.002,0.001,180.400,-0.076
'[11:00:31.604 11/05/1995]',0.001,0.002,0.012,180.400,-0.076
'[11:00:31.606 11/05/1995]',0.001,0.002,0.012,180.400,-0.076
'[11:00:31.608 11/05/1995]',0.001,0.002,0.001,180.400,-0.105
'[11:00:31.610 11/05/1995]',-0.006,0.002,-0.010,180.400,-0.105
'[11:00:31.612 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.105
'[11:00:31.614 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.105
'[11:00:31.616 11/05/1995]',0.001,0.002,-0.021,180.400,-0.133
'[11:00:31.618 11/05/1995]',-0.006,0.002,0.001,180.400,-0.133
'[11:00:31.620 11/05/1995]',0.001,0.002,0.012,180.400,-0.133
'[11:00:31.622 11/05/1995]',0.001,0.002,0.012,180.400,-0.133
'[11:00:31.624 11/05/1995]',0.001,0.002,0.012,180.400,-0.159
'[11:00:31.626 11/05/1995]',0.001,0.002,0.001,180.400,-0.159
'[11:00:31.628 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.159
'[11:00:31.630 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.159
'[11:00:31.632 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.185
'[11:00:31.634 11/05/1995]',0.001,0.002,-0.010,180.400,-0.185
'[11:00:31.636 11/05/1995]',0.001,0.002,0.001,180.400,-0.185
'[11:00:31.638 11/05/1995]',0.001,0.002,0.023,180.400,-0.185
'[11:00:31.640 11/05/1995]',0.001,0.002,0.012,180.400,-0.209
'[11:00:31.642 11/05/1995]',0.001,0.002,0.001,180.400,-0.209
'[11:00:31.644 11/05/1995]',0.001,0.002,-0.010,180.400,-0.209
'[11:00:31.646 11/05/1995]',0.001,0.002,-0.033,180.400,-0.209
'[11:00:31.648 11/05/1995]',0.001,0.002,-0.033,180.400,-0.232
'[11:00:31.650 11/05/1995]',0.001,0.002,-0.010,180.400,-0.232
'[11:00:31.652 11/05/1995]',0.001,0.002,0.001,180.400,-0.232
'[11:00:31.654 11/05/1995]',0.007,0.002,0.012,180.400,-0.232
'[11:00:31.656 11/05/1995]',-0.006,0.002,0.023,180.400,-0.254
'[11:00:31.658 11/05/1995]',-0.006,0.002,0.001,180.400,-0.254
'[11:00:31.660 11/05/1995]',-0.006,0.002,0.001,180.400,-0.254
'[11:00:31.662 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.254
'[11:00:31.664 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.275
'[11:00:31.666 11/05/1995]',-0.012,0.002,-0.021,180.400,-0.275
'[11:00:31.668 11/05/1995]',-0.006,0.002,0.001,180.400,-0.275
'[11:00:31.670 11/05/1995]',-0.006,0.002,0.012,180.400,-0.275
'[11:00:31.672 11/05/1995]',0.001,0.002,0.023,180.400,-0.294
'[11:00:31.674 11/05/1995]',0.001,0.002,0.001,180.400,-0.294
'[11:00:31.676 11/05/1995]',-0.006,0.002,0.001,180.400,-0.294
'[11:00:31.678 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.294
'[11:00:31.680 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.314
'[11:00:31.682 11/05/1995]',0.001,0.002,-0.021,180.400,-0.314
'[11:00:31.684 11/05/1995]',0.001,0.002,0.001,180.400,-0.314
'[11:00:31.686 11/05/1995]',0.001,0.002,0.001,180.400,-0.314
'[11:00:31.688 11/05/1995]',0.001,0.002,0.023,180.400,-0.331
'[11:00:31.690 11/05/1995]',0.001,0.002,0.012,180.400,-0.331
'[11:00:31.692 11/05/1995]',0.001,0.002,0.001,180.400,-0.331
'[11:00:31.694 11/05/1995]',0.001,0.002,-0.010,180.400,-0.331
