'Time and date','aVR','II','V','ABP','PLETH','RESP'
'[09:10:23.790 26/12/1995]',0.046,-0.045,-0.020,60.200,-0.335,-0.657
'[09:10:23.792 26/12/1995]',0.045,-0.068,-0.020,64.257,-0.321,-0.649
'[09:10:23.794 26/12/1995]',0.043,-0.068,-0.027,64.257,-0.321,-0.649
'[09:10:23.796 26/12/1995]',0.041,-0.053,-0.027,64.257,-0.321,-0.649
'[09:10:23.798 26/12/1995]',0.038,-0.053,-0.033,64.257,-0.321,-0.649
'[09:10:23.800 26/12/1995]',0.037,-0.045,-0.033,68.514,-0.303,-0.642
'[09:10:23.802 26/12/1995]',0.036,-0.045,-0.033,68.514,-0.303,-0.642
'[09:10:23.804 26/12/1995]',0.037,-0.045,-0.027,68.514,-0.303,-0.642
'[09:10:23.806 26/12/1995]',0.038,-0.037,-0.020,68.514,-0.303,-0.642
'[09:10:23.808 26/12/1995]',0.042,-0.037,-0.020,72.671,-0.283,-0.635
'[09:10:23.810 26/12/1995]',0.046,-0.030,-0.013,72.671,-0.283,-0.635
'[09:10:23.812 26/12/1995]',0.052,-0.045,-0.006,72.671,-0.283,-0.635
'[09:10:23.814 26/12/1995]',0.058,-0.045,-0.006,72.671,-0.283,-0.635
'[09:10:23.816 26/12/1995]',0.063,-0.075,0.001,76.628,-0.252,-0.629
'[09:10:23.818 26/12/1995]',0.068,-0.091,0.001,76.628,-0.252,-0.629
'[09:10:23.820 26/12/1995]',0.070,-0.091,0.001,76.628,-0.252,-0.629
'[09:10:23.822 26/12/1995]',0.072,-0.091,-0.006,76.628,-0.252,-0.629
'[09:10:23.824 26/12/1995]',0.071,-0.091,-0.013,80.284,-0.224,-0.624
'[09:10:23.826 26/12/1995]',0.071,-0.098,-0.020,80.284,-0.224,-0.624
'[09:10:23.828 26/12/1995]',0.070,-0.091,-0.020,80.284,-0.224,-0.624
'[09:10:23.830 26/12/1995]',0.069,-0.083,-0.020,80.284,-0.224,-0.624
'[09:10:23.832 26/12/1995]',0.070,-0.091,-0.020,83.539,-0.190,-0.619
'[09:10:23.834 26/12/1995]',0.070,-0.091,-0.013,83.539,-0.190,-0.619
'[09:10:23.836 26/12/1995]',0.073,-0.083,-0.006,83.539,-0.190,-0.619
'[09:10:23.838 26/12/1995]',0.077,-0.091,-0.006,83.539,-0.190,-0.619
'[09:10:23.840 26/12/1995]',0.081,-0.098,-0.006,86.194,-0.152,-0.614
'[09:10:23.842 26/12/1995]',0.085,-0.098,-0.006,86.194,-0.152,-0.614
'[09:10:23.844 26/12/1995]',0.089,-0.106,-0.006,86.194,-0.152,-0.614
'[09:10:23.846 26/12/1995]',0.092,-0.113,0.001,86.194,-0.152,-0.614
'[09:10:23.848 26/12/1995]',0.093,-0.121,0.001,88.397,-0.107,-0.610
'[09:10:23.850 26/12/1995]',0.095,-0.136,0.001,88.397,-0.107,-0.610
'[09:10:23.852 26/12/1995]',0.095,-0.143,0.001,88.397,-0.107,-0.610
'[09:10:23.854 26/12/1995]',0.094,-0.143,0.001,88.397,-0.107,-0.610
'[09:10:23.856 26/12/1995]',0.092,-0.121,0.001,89.950,-0.059,-0.606
'[09:10:23.858 26/12/1995]',0.090,-0.121,-0.006,89.950,-0.059,-0.606
'[09:10:23.860 26/12/1995]',0.086,-0.121,-0.006,89.950,-0.059,-0.606
'[09:10:23.862 26/12/1995]',0.083,-0.121,0.001,89.950,-0.059,-0.606
'[09:10:23.864 26/12/1995]',0.079,-0.113,-0.006,91.102,-0.014,-0.603
'[09:10:23.866 26/12/1995]',0.075,-0.121,-0.006,91.102,-0.014,-0.603
'[09:10:23.868 26/12/1995]',0.071,-0.121,-0.006,91.102,-0.014,-0.603
'[09:10:23.870 26/12/1995]',0.068,-0.113,0.001,91.102,-0.014,-0.603
'[09:10:23.872 26/12/1995]',0.065,-0.106,0.001,91.753,0.031,-0.600
'[09:10:23.874 26/12/1995]',0.062,-0.098,0.001,91.753,0.031,-0.600
'[09:10:23.876 26/12/1995]',0.061,-0.106,0.007,91.753,0.031,-0.600
'[09:10:23.878 26/12/1995]',0.059,-0.098,0.007,91.753,0.031,-0.600
'[09:10:23.880 26/12/1995]',0.059,-0.098,0.007,91.953,0.075,-0.598
'[09:10:23.882 26/12/1995]',0.060,-0.106,0.014,91.953,0.075,-0.598
'[09:10:23.884 26/12/1995]',0.062,-0.106,0.014,91.953,0.075,-0.598
'[09:10:23.886 26/12/1995]',0.064,-0.113,0.014,91.953,0.075,-0.598
'[09:10:23.888 26/12/1995]',0.067,-0.113,0.021,91.803,0.117,-0.596
'[09:10:23.890 26/12/1995]',0.070,-0.113,0.021,91.803,0.117,-0.596
'[09:10:23.892 26/12/1995]',0.073,-0.106,0.021,91.803,0.117,-0.596
'[09:10:23.894 26/12/1995]',0.076,-0.113,0.014,91.803,0.117,-0.596
'[09:10:23.896 26/12/1995]',0.079,-0.113,0.021,91.252,0.155,-0.596
'[09:10:23.898 26/12/1995]',0.082,-0.121,0.021,91.252,0.155,-0.596
'[09:10:23.900 26/12/1995]',0.085,-0.121,0.021,91.252,0.155,-0.596
'[09:10:23.902 26/12/1995]',0.087,-0.136,0.021,91.252,0.155,-0.596
'[09:10:23.904 26/12/1995]',0.089,-0.143,0.021,90.451,0.186,-0.595
'[09:10:23.906 26/12/1995]',0.091,-0.136,0.021,90.451,0.186,-0.595
'[09:10:23.908 26/12/1995]',0.093,-0.143,0.014,90.451,0.186,-0.595
'[09:10:23.910 26/12/1995]',0.095,-0.136,0.021,90.451,0.186,-0.595
'[09:10:23.912 26/12/1995]',0.096,-0.143,0.014,89.349,0.213,-0.593
'[09:10:23.914 26/12/1995]',0.098,-0.151,0.014,89.349,0.213,-0.593
'[09:10:23.916 26/12/1995]',0.099,-0.159,0.014,89.349,0.213,-0.593
'[09:10:23.918 26/12/1995]',0.099,-0.159,0.014,89.349,0.213,-0.593
'[09:10:23.920 26/12/1995]',0.100,-0.159,0.014,88.047,0.237,-0.591
'[09:10:23.922 26/12/1995]',0.100,-0.151,0.014,88.047,0.237,-0.591
'[09:10:23.924 26/12/1995]',0.101,-0.151,0.014,88.047,0.237,-0.591
'[09:10:23.926 26/12/1995]',0.101,-0.151,0.014,88.047,0.237,-0.591
'[09:10:23.928 26/12/1995]',0.100,-0.151,0.014,86.444,0.262,-0.589
'[09:10:23.930 26/12/1995]',0.100,-0.159,0.014,86.444,0.262,-0.589
'[09:10:23.932 26/12/1995]',0.099,-0.159,0.014,86.444,0.262,-0.589
'[09:10:23.934 26/12/1995]',0.098,-0.151,0.014,86.444,0.262,-0.589
'[09:10:23.936 26/12/1995]',0.097,-0.151,0.014,84.491,0.282,-0.586
'[09:10:23.938 26/12/1995]',0.096,-0.143,0.021,84.491,0.282,-0.586
'[09:10:23.940 26/12/1995]',0.094,-0.143,0.021,84.491,0.282,-0.586
'[09:10:23.942 26/12/1995]',0.093,-0.136,0.014,84.491,0.282,-0.586
'[09:10:23.944 26/12/1995]',0.092,-0.136,0.014,82.287,0.292,-0.584
'[09:10:23.946 26/12/1995]',0.091,-0.136,0.007,82.287,0.292,-0.584
'[09:10:23.948 26/12/1995]',0.092,-0.136,0.001,82.287,0.292,-0.584
'[09:10:23.950 26/12/1995]',0.092,-0.143,-0.006,82.287,0.292,-0.584
'[09:10:23.952 26/12/1995]',0.092,-0.136,0.001,79.783,0.299,-0.582
'[09:10:23.954 26/12/1995]',0.092,-0.143,0.001,79.783,0.299,-0.582
'[09:10:23.956 26/12/1995]',0.093,-0.136,0.007,79.783,0.299,-0.582
'[09:10:23.958 26/12/1995]',0.093,-0.143,0.014,79.783,0.299,-0.582
'[09:10:23.960 26/12/1995]',0.093,-0.143,0.021,76.978,0.303,-0.580
'[09:10:23.962 26/12/1995]',0.092,-0.143,0.021,76.978,0.303,-0.580
'[09:10:23.964 26/12/1995]',0.092,-0.136,0.021,76.978,0.303,-0.580
'[09:10:23.966 26/12/1995]',0.091,-0.136,0.021,76.978,0.303,-0.580
'[09:10:23.968 26/12/1995]',0.089,-0.136,0.028,74.324,0.303,-0.579
'[09:10:23.970 26/12/1995]',0.088,-0.121,0.028,74.324,0.303,-0.579
'[09:10:23.972 26/12/1995]',0.088,-0.113,0.034,74.324,0.303,-0.579
'[09:10:23.974 26/12/1995]',0.087,-0.113,0.034,74.324,0.303,-0.579
'[09:10:23.976 26/12/1995]',0.087,-0.113,0.048,71.769,0.296,-0.582
'[09:10:23.978 26/12/1995]',0.086,-0.113,0.048,71.769,0.296,-0.582
'[09:10:23.980 26/12/1995]',0.086,-0.113,0.048,71.769,0.296,-0.582
'[09:10:23.982 26/12/1995]',0.086,-0.113,0.048,71.769,0.296,-0.582
'[09:10:23.984 26/12/1995]',0.087,-0.113,0.048,69.466,0.285,-0.587
'[09:10:23.986 26/12/1995]',0.087,-0.121,0.034,69.466,0.285,-0.587
'[09:10:23.988 26/12/1995]',0.087,-0.113,0.034,69.466,0.285,-0.587
'[09:10:23.990 26/12/1995]',0.087,-0.121,0.034,69.466,0.285,-0.587
'[09:10:23.992 26/12/1995]',0.086,-0.121,0.034,67.362,0.276,-0.594
'[09:10:23.994 26/12/1995]',0.086,-0.121,0.028,67.362,0.276,-0.594
'[09:10:23.996 26/12/1995]',0.085,-0.136,0.028,67.362,0.276,-0.594
'[09:10:23.998 26/12/1995]',0.084,-0.143,0.028,67.362,0.276,-0.594
'[09:10:24.000 26/12/1995]',0.084,-0.136,0.028,65.559,0.258,-0.605
'[09:10:24.002 26/12/1995]',0.084,-0.136,0.021,65.559,0.258,-0.605
'[09:10:24.004 26/12/1995]',0.084,-0.121,0.028,65.559,0.258,-0.605
'[09:10:24.006 26/12/1995]',0.085,-0.121,0.028,65.559,0.258,-0.605
'[09:10:24.008 26/12/1995]',0.086,-0.121,0.028,63.956,0.244,-0.621
'[09:10:24.010 26/12/1995]',0.086,-0.121,0.021,63.956,0.244,-0.621
'[09:10:24.012 26/12/1995]',0.087,-0.113,0.021,63.956,0.244,-0.621
'[09:10:24.014 26/12/1995]',0.087,-0.121,0.028,63.956,0.244,-0.621
'[09:10:24.016 26/12/1995]',0.087,-0.136,0.028,62.554,0.231,-0.641
'[09:10:24.018 26/12/1995]',0.086,-0.143,0.028,62.554,0.231,-0.641
'[09:10:24.020 26/12/1995]',0.085,-0.143,0.028,62.554,0.231,-0.641
'[09:10:24.022 26/12/1995]',0.084,-0.143,0.021,62.554,0.231,-0.641
'[09:10:24.024 26/12/1995]',0.084,-0.143,0.028,61.452,0.213,-0.665
'[09:10:24.026 26/12/1995]',0.083,-0.143,0.021,61.452,0.213,-0.665
'[09:10:24.028 26/12/1995]',0.083,-0.136,0.028,61.452,0.213,-0.665
'[09:10:24.030 26/12/1995]',0.082,-0.121,0.021,61.452,0.213,-0.665
'[09:10:24.032 26/12/1995]',0.082,-0.121,0.028,60.501,0.203,-0.695
'[09:10:24.034 26/12/1995]',0.081,-0.121,0.028,60.501,0.203,-0.695
'[09:10:24.036 26/12/1995]',0.081,-0.121,0.028,60.501,0.203,-0.695
'[09:10:24.038 26/12/1995]',0.080,-0.121,0.028,60.501,0.203,-0.695
'[09:10:24.040 26/12/1995]',0.080,-0.121,0.028,59.749,0.189,-0.730
'[09:10:24.042 26/12/1995]',0.079,-0.121,0.028,59.749,0.189,-0.730
'[09:10:24.044 26/12/1995]',0.078,-0.113,0.028,59.749,0.189,-0.730
'[09:10:24.046 26/12/1995]',0.077,-0.113,0.021,59.749,0.189,-0.730
'[09:10:24.048 26/12/1995]',0.077,-0.113,0.021,59.098,0.172,-0.769
'[09:10:24.050 26/12/1995]',0.077,-0.121,0.021,59.098,0.172,-0.769
'[09:10:24.052 26/12/1995]',0.077,-0.121,0.021,59.098,0.172,-0.769
'[09:10:24.054 26/12/1995]',0.077,-0.121,0.021,59.098,0.172,-0.769
'[09:10:24.056 26/12/1995]',0.078,-0.121,0.021,58.598,0.158,-0.814
'[09:10:24.058 26/12/1995]',0.078,-0.121,0.014,58.598,0.158,-0.814
'[09:10:24.060 26/12/1995]',0.079,-0.121,0.021,58.598,0.158,-0.814
'[09:10:24.062 26/12/1995]',0.079,-0.121,0.014,58.598,0.158,-0.814
'[09:10:24.064 26/12/1995]',0.079,-0.121,0.021,58.197,0.144,-0.860
'[09:10:24.066 26/12/1995]',0.079,-0.121,0.021,58.197,0.144,-0.860
'[09:10:24.068 26/12/1995]',0.079,-0.136,0.021,58.197,0.144,-0.860
'[09:10:24.070 26/12/1995]',0.078,-0.136,0.021,58.197,0.144,-0.860
'[09:10:24.072 26/12/1995]',0.078,-0.143,0.021,57.946,0.127,-0.905
'[09:10:24.074 26/12/1995]',0.077,-0.121,0.021,57.946,0.127,-0.905
'[09:10:24.076 26/12/1995]',0.077,-0.136,0.021,57.946,0.127,-0.905
'[09:10:24.078 26/12/1995]',0.077,-0.121,0.014,57.946,0.127,-0.905
'[09:10:24.080 26/12/1995]',0.078,-0.121,0.021,57.646,0.114,-0.949
'[09:10:24.082 26/12/1995]',0.078,-0.136,0.014,57.646,0.114,-0.949
'[09:10:24.084 26/12/1995]',0.079,-0.143,0.014,57.646,0.114,-0.949
'[09:10:24.086 26/12/1995]',0.080,-0.143,0.021,57.646,0.114,-0.949
'[09:10:24.088 26/12/1995]',0.080,-0.143,0.021,57.446,0.093,-0.993
'[09:10:24.090 26/12/1995]',0.080,-0.143,0.014,57.446,0.093,-0.993
'[09:10:24.092 26/12/1995]',0.081,-0.136,0.021,57.446,0.093,-0.993
'[09:10:24.094 26/12/1995]',0.081,-0.136,0.021,57.446,0.093,-0.993
'[09:10:24.096 26/12/1995]',0.081,-0.136,0.021,57.295,0.083,-
'[09:10:24.098 26/12/1995]',0.080,-0.143,0.014,57.295,0.083,-
'[09:10:24.100 26/12/1995]',0.080,-0.143,0.021,57.295,0.083,-
'[09:10:24.102 26/12/1995]',0.080,-0.143,0.021,57.295,0.083,-
'[09:10:24.104 26/12/1995]',0.080,-0.121,0.021,57.145,0.069,-
'[09:10:24.106 26/12/1995]',0.080,-0.121,0.014,57.145,0.069,-
'[09:10:24.108 26/12/1995]',0.082,-0.113,0.014,57.145,0.069,-
'[09:10:24.110 26/12/1995]',0.084,-0.113,0.021,57.145,0.069,-
'[09:10:24.112 26/12/1995]',0.087,-0.113,0.028,57.045,0.059,-
'[09:10:24.114 26/12/1995]',0.090,-0.113,0.028,57.045,0.059,-
'[09:10:24.116 26/12/1995]',0.093,-0.121,0.028,57.045,0.059,-
'[09:10:24.118 26/12/1995]',0.096,-0.121,0.028,57.045,0.059,-
'[09:10:24.120 26/12/1995]',0.097,-0.136,0.028,56.945,0.044,-
'[09:10:24.122 26/12/1995]',0.099,-0.143,0.028,56.945,0.044,-
'[09:10:24.124 26/12/1995]',0.099,-0.136,0.028,56.945,0.044,-
'[09:10:24.126 26/12/1995]',0.099,-0.136,0.028,56.945,0.044,-
'[09:10:24.128 26/12/1995]',0.099,-0.121,0.028,56.694,0.037,-
'[09:10:24.130 26/12/1995]',0.099,-0.136,0.021,56.694,0.037,-
'[09:10:24.132 26/12/1995]',0.099,-0.136,0.028,56.694,0.037,-
'[09:10:24.134 26/12/1995]',0.098,-0.136,0.021,56.694,0.037,-
'[09:10:24.136 26/12/1995]',0.098,-0.136,0.021,56.444,0.028,-
'[09:10:24.138 26/12/1995]',0.097,-0.136,0.021,56.444,0.028,-
'[09:10:24.140 26/12/1995]',0.096,-0.136,0.021,56.444,0.028,-
'[09:10:24.142 26/12/1995]',0.096,-0.121,0.028,56.444,0.028,-
'[09:10:24.144 26/12/1995]',0.095,-0.113,0.021,56.093,0.013,-
'[09:10:24.146 26/12/1995]',0.095,-0.121,0.021,56.093,0.013,-
'[09:10:24.148 26/12/1995]',0.095,-0.113,0.021,56.093,0.013,-
'[09:10:24.150 26/12/1995]',0.095,-0.113,0.021,56.093,0.013,-
'[09:10:24.152 26/12/1995]',0.096,-0.121,0.021,55.693,-0.001,-
'[09:10:24.154 26/12/1995]',0.097,-0.136,0.021,55.693,-0.001,-
'[09:10:24.156 26/12/1995]',0.098,-0.121,0.028,55.693,-0.001,-
'[09:10:24.158 26/12/1995]',0.099,-0.121,0.021,55.693,-0.001,-
'[09:10:24.160 26/12/1995]',0.099,-0.121,0.021,55.292,-0.021,-
'[09:10:24.162 26/12/1995]',0.099,-0.136,0.021,55.292,-0.021,-
'[09:10:24.164 26/12/1995]',0.100,-0.121,0.028,55.292,-0.021,-
'[09:10:24.166 26/12/1995]',0.101,-0.121,0.021,55.292,-0.021,-
'[09:10:24.168 26/12/1995]',0.102,-0.113,0.028,54.992,-0.038,-
'[09:10:24.170 26/12/1995]',0.103,-0.113,0.028,54.992,-0.038,-
'[09:10:24.172 26/12/1995]',0.103,-0.106,0.034,54.992,-0.038,-
'[09:10:24.174 26/12/1995]',0.103,-0.106,0.034,54.992,-0.038,-
'[09:10:24.176 26/12/1995]',0.103,-0.113,0.034,54.641,-0.059,-
'[09:10:24.178 26/12/1995]',0.104,-0.113,0.034,54.641,-0.059,-
'[09:10:24.180 26/12/1995]',0.104,-0.113,0.034,54.641,-0.059,-
'[09:10:24.182 26/12/1995]',0.104,-0.113,0.034,54.641,-0.059,-
'[09:10:24.184 26/12/1995]',0.104,-0.098,0.034,54.391,-0.080,-
'[09:10:24.186 26/12/1995]',0.104,-0.106,0.028,54.391,-0.080,-
'[09:10:24.188 26/12/1995]',0.105,-0.106,0.034,54.391,-0.080,-
'[09:10:24.190 26/12/1995]',0.106,-0.113,0.034,54.391,-0.080,-
'[09:10:24.192 26/12/1995]',0.109,-0.106,0.034,54.190,-0.041,-
'[09:10:24.194 26/12/1995]',0.112,-0.106,0.021,54.190,-0.041,-
'[09:10:24.196 26/12/1995]',0.117,-0.091,0.021,54.190,-0.041,-
'[09:10:24.198 26/12/1995]',0.122,-0.091,0.014,54.190,-0.041,-
'[09:10:24.200 26/12/1995]',0.129,-0.091,0.014,53.940,-0.058,-
'[09:10:24.202 26/12/1995]',0.136,-0.098,0.014,53.940,-0.058,-
'[09:10:24.204 26/12/1995]',0.144,-0.098,0.014,53.940,-0.058,-
'[09:10:24.206 26/12/1995]',0.152,-0.121,0.014,53.940,-0.058,-
'[09:10:24.208 26/12/1995]',0.160,-0.151,0.021,53.739,-0.074,-
'[09:10:24.210 26/12/1995]',0.167,-0.181,0.021,53.739,-0.074,-
'[09:10:24.212 26/12/1995]',0.174,-0.189,0.021,53.739,-0.074,-
'[09:10:24.214 26/12/1995]',0.180,-0.212,0.028,53.739,-0.074,-
'[09:10:24.216 26/12/1995]',0.186,-0.219,0.028,53.539,-0.091,-
'[09:10:24.218 26/12/1995]',0.192,-0.242,0.034,53.539,-0.091,-
'[09:10:24.220 26/12/1995]',0.199,-0.257,0.055,53.539,-0.091,-
'[09:10:24.222 26/12/1995]',0.205,-0.287,0.055,53.539,-0.091,-
'[09:10:24.224 26/12/1995]',0.212,-0.303,0.062,53.239,-0.101,-
'[09:10:24.226 26/12/1995]',0.219,-0.325,0.068,53.239,-0.101,-
'[09:10:24.228 26/12/1995]',0.227,-0.355,0.068,53.239,-0.101,-
'[09:10:24.230 26/12/1995]',0.235,-0.363,0.089,53.239,-0.101,-
'[09:10:24.232 26/12/1995]',0.243,-0.371,0.096,52.888,-0.117,-
'[09:10:24.234 26/12/1995]',0.250,-0.393,0.102,52.888,-0.117,-
'[09:10:24.236 26/12/1995]',0.255,-0.431,0.129,52.888,-0.117,-
'[09:10:24.238 26/12/1995]',0.259,-0.446,0.136,52.888,-0.117,-
'[09:10:24.240 26/12/1995]',0.258,-0.477,0.150,52.537,-0.131,-
'[09:10:24.242 26/12/1995]',0.256,-0.492,0.157,52.537,-0.131,-
'[09:10:24.244 26/12/1995]',0.249,-0.499,0.157,52.537,-0.131,-
'[09:10:24.246 26/12/1995]',0.242,-0.499,0.157,52.537,-0.131,-
'[09:10:24.248 26/12/1995]',0.231,-0.484,0.150,52.187,-0.148,-
'[09:10:24.250 26/12/1995]',0.220,-0.461,0.136,52.187,-0.148,-
'[09:10:24.252 26/12/1995]',0.210,-0.439,0.129,52.187,-0.148,-
'[09:10:24.254 26/12/1995]',0.199,-0.424,0.116,52.187,-0.148,-
'[09:10:24.256 26/12/1995]',0.189,-0.416,0.109,51.836,-0.161,-
'[09:10:24.258 26/12/1995]',0.179,-0.393,0.102,51.836,-0.161,-
'[09:10:24.260 26/12/1995]',0.170,-0.386,0.096,51.836,-0.161,-
'[09:10:24.262 26/12/1995]',0.162,-0.371,0.096,51.836,-0.161,-
'[09:10:24.264 26/12/1995]',0.152,-0.363,0.075,51.536,-0.171,-
'[09:10:24.266 26/12/1995]',0.143,-0.363,0.075,51.536,-0.171,-
'[09:10:24.268 26/12/1995]',0.133,-0.355,0.062,51.536,-0.171,-
'[09:10:24.270 26/12/1995]',0.122,-0.340,0.055,51.536,-0.171,-
'[09:10:24.272 26/12/1995]',0.110,-0.310,0.048,51.185,-0.184,-
'[09:10:24.274 26/12/1995]',0.099,-0.295,0.034,51.185,-0.184,-
'[09:10:24.276 26/12/1995]',0.088,-0.280,0.021,51.185,-0.184,-
'[09:10:24.278 26/12/1995]',0.076,-0.249,0.014,51.185,-0.184,-
'[09:10:24.280 26/12/1995]',0.065,-0.227,0.007,50.885,-0.198,-1.000
'[09:10:24.282 26/12/1995]',0.054,-0.212,0.001,50.885,-0.198,-1.000
'[09:10:24.284 26/12/1995]',0.044,-0.189,0.001,50.885,-0.198,-1.000
'[09:10:24.286 26/12/1995]',0.033,-0.174,-0.006,50.885,-0.198,-1.000
'[09:10:24.288 26/12/1995]',0.025,-0.159,-0.013,50.584,-0.204,-0.972
'[09:10:24.290 26/12/1995]',0.016,-0.143,-0.020,50.584,-0.204,-0.972
'[09:10:24.292 26/12/1995]',0.010,-0.113,-0.027,50.584,-0.204,-0.972
'[09:10:24.294 26/12/1995]',0.003,-0.098,-0.033,50.584,-0.204,-0.972
'[09:10:24.296 26/12/1995]',-0.001,-0.091,-0.047,50.334,-0.211,-0.946
'[09:10:24.298 26/12/1995]',-0.005,-0.091,-0.047,50.334,-0.211,-0.946
'[09:10:24.300 26/12/1995]',-0.006,-0.083,-0.054,50.334,-0.211,-0.946
'[09:10:24.302 26/12/1995]',-0.007,-0.083,-0.054,50.334,-0.211,-0.946
'[09:10:24.304 26/12/1995]',-0.007,-0.091,-0.054,50.083,-0.214,-0.921
'[09:10:24.306 26/12/1995]',-0.006,-0.083,-0.054,50.083,-0.214,-0.921
'[09:10:24.308 26/12/1995]',-0.007,-0.091,-0.061,50.083,-0.214,-0.921
'[09:10:24.310 26/12/1995]',-0.007,-0.083,-0.061,50.083,-0.214,-0.921
'[09:10:24.312 26/12/1995]',-0.009,-0.091,-0.054,49.833,-0.218,-0.898
'[09:10:24.314 26/12/1995]',-0.010,-0.083,-0.054,49.833,-0.218,-0.898
'[09:10:24.316 26/12/1995]',-0.012,-0.075,-0.054,49.833,-0.218,-0.898
'[09:10:24.318 26/12/1995]',-0.014,-0.068,-0.054,49.833,-0.218,-0.898
'[09:10:24.320 26/12/1995]',-0.015,-0.068,-0.054,49.583,-0.214,-0.876
'[09:10:24.322 26/12/1995]',-0.017,-0.068,-0.061,49.583,-0.214,-0.876
'[09:10:24.324 26/12/1995]',-0.017,-0.053,-0.068,49.583,-0.214,-0.876
'[09:10:24.326 26/12/1995]',-0.017,-0.045,-0.068,49.583,-0.214,-0.876
'[09:10:24.328 26/12/1995]',-0.017,-0.053,-0.068,49.382,-0.214,-0.855
'[09:10:24.330 26/12/1995]',-0.017,-0.045,-0.068,49.382,-0.214,-0.855
'[09:10:24.332 26/12/1995]',-0.016,-0.053,-0.061,49.382,-0.214,-0.855
'[09:10:24.334 26/12/1995]',-0.016,-0.068,-0.061,49.382,-0.214,-0.855
'[09:10:24.336 26/12/1995]',-0.016,-0.068,-0.061,49.132,-0.214,-0.835
'[09:10:24.338 26/12/1995]',-0.017,-0.075,-0.054,49.132,-0.214,-0.835
'[09:10:24.340 26/12/1995]',-0.018,-0.068,-0.061,49.132,-0.214,-0.835
'[09:10:24.342 26/12/1995]',-0.018,-0.068,-0.061,49.132,-0.214,-0.835
'[09:10:24.344 26/12/1995]',-0.019,-0.045,-0.061,48.881,-0.208,-0.816
'[09:10:24.346 26/12/1995]',-0.020,-0.045,-0.061,48.881,-0.208,-0.816
'[09:10:24.348 26/12/1995]',-0.020,-0.037,-0.061,48.881,-0.208,-0.816
'[09:10:24.350 26/12/1995]',-0.021,-0.037,-0.054,48.881,-0.208,-0.816
'[09:10:24.352 26/12/1995]',-0.021,-0.037,-0.054,48.731,-0.208,-0.796
'[09:10:24.354 26/12/1995]',-0.022,-0.037,-0.047,48.731,-0.208,-0.796
'[09:10:24.356 26/12/1995]',-0.022,-0.045,-0.047,48.731,-0.208,-0.796
'[09:10:24.358 26/12/1995]',-0.023,-0.037,-0.047,48.731,-0.208,-0.796
'[09:10:24.360 26/12/1995]',-0.023,-0.030,-0.054,48.631,-0.204,-0.775
'[09:10:24.362 26/12/1995]',-0.023,-0.022,-0.054,48.631,-0.204,-0.775
'[09:10:24.364 26/12/1995]',-0.024,-0.022,-0.054,48.631,-0.204,-0.775
'[09:10:24.366 26/12/1995]',-0.024,-0.030,-0.054,48.631,-0.204,-0.775
'[09:10:24.368 26/12/1995]',-0.024,-0.030,-0.061,48.781,-0.208,-0.753
'[09:10:24.370 26/12/1995]',-0.024,-0.030,-0.054,48.781,-0.208,-0.753
'[09:10:24.372 26/12/1995]',-0.023,-0.037,-0.061,48.781,-0.208,-0.753
'[09:10:24.374 26/12/1995]',-0.022,-0.030,-0.061,48.781,-0.208,-0.753
'[09:10:24.376 26/12/1995]',-0.022,-0.030,-0.054,49.432,-0.204,-0.730
'[09:10:24.378 26/12/1995]',-0.022,-0.030,-0.054,49.432,-0.204,-0.730
'[09:10:24.380 26/12/1995]',-0.023,-0.037,-0.054,49.432,-0.204,-0.730
'[09:10:24.382 26/12/1995]',-0.024,-0.030,-0.054,49.432,-0.204,-0.730
'[09:10:24.384 26/12/1995]',-0.026,-0.030,-0.054,50.835,-0.204,-0.706
'[09:10:24.386 26/12/1995]',-0.028,-0.022,-0.054,50.835,-0.204,-0.706
'[09:10:24.388 26/12/1995]',-0.030,-0.022,-0.061,50.835,-0.204,-0.706
'[09:10:24.390 26/12/1995]',-0.031,-0.022,-0.061,50.835,-0.204,-0.706
'[09:10:24.392 26/12/1995]',-0.033,-0.022,-0.061,53.289,-0.204,-0.682
'[09:10:24.394 26/12/1995]',-0.034,-0.030,-0.061,53.289,-0.204,-0.682
'[09:10:24.396 26/12/1995]',-0.035,-0.022,-0.061,53.289,-0.204,-0.682
'[09:10:24.398 26/12/1995]',-0.036,-0.015,-0.061,53.289,-0.204,-0.682
'[09:10:24.400 26/12/1995]',-0.036,-0.015,-0.061,56.795,-0.195,-0.658
'[09:10:24.402 26/12/1995]',-0.036,-0.007,-0.061,56.795,-0.195,-0.658
'[09:10:24.404 26/12/1995]',-0.035,-0.007,-0.061,56.795,-0.195,-0.658
'[09:10:24.406 26/12/1995]',-0.033,-0.015,-0.061,56.795,-0.195,-0.658
'[09:10:24.408 26/12/1995]',-0.033,-0.007,-0.061,61.152,-0.181,-0.634
'[09:10:24.410 26/12/1995]',-0.032,0.001,-0.061,61.152,-0.181,-0.634
'[09:10:24.412 26/12/1995]',-0.033,-0.007,-0.061,61.152,-0.181,-0.634
'[09:10:24.414 26/12/1995]',-0.034,0.001,-0.061,61.152,-0.181,-0.634
'[09:10:24.416 26/12/1995]',-0.035,-0.007,-0.061,65.960,-0.168,-0.610
'[09:10:24.418 26/12/1995]',-0.036,-0.007,-0.061,65.960,-0.168,-0.610
'[09:10:24.420 26/12/1995]',-0.037,-0.007,-0.061,65.960,-0.168,-0.610
